<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	08:00:00	60.600	60.610	60.590	60.610	17	0	50
2018.01.02	08:20:00	60.610	60.650	60.600	60.650	28	0	50
2018.01.02	08:40:00	60.660	60.660	60.620	60.630	24	0	50
2018.01.02	09:00:00	60.620	60.710	60.600	60.690	74	0	50
2018.01.02	09:20:00	60.680	60.690	60.610	60.610	76	0	50
2018.01.02	09:40:00	60.610	60.650	60.590	60.610	72	0	50
2018.01.02	10:00:00	60.600	60.600	60.470	60.530	152	0	50
2018.01.02	10:20:00	60.520	60.550	60.460	60.530	202	0	50
2018.01.02	10:40:00	60.530	60.570	60.460	60.460	149	0	50
2018.01.02	11:00:00	60.470	60.480	60.400	60.430	111	0	50
2018.01.02	11:20:00	60.420	60.470	60.400	60.420	90	0	50
2018.01.02	11:40:00	60.430	60.430	60.250	60.290	175	0	50
2018.01.02	12:00:00	60.300	60.360	60.280	60.310	89	0	50
2018.01.02	12:20:00	60.290	60.360	60.230	60.330	113	0	50
2018.01.02	12:40:00	60.320	60.330	60.260	60.280	97	0	50
2018.01.02	13:00:00	60.270	60.320	60.200	60.220	221	0	50
2018.01.02	13:20:00	60.230	60.350	60.190	60.350	291	0	50
2018.01.02	13:40:00	60.350	60.500	60.350	60.400	243	0	50
2018.01.02	14:00:00	60.410	60.470	60.360	60.450	279	0	50
2018.01.02	14:20:00	60.450	60.470	60.410	60.460	168	0	50
2018.01.02	14:40:00	60.450	60.480	60.390	60.460	154	0	50
2018.01.02	15:00:00	60.470	60.480	60.290	60.310	423	0	50
2018.01.02	15:20:00	60.310	60.340	60.260	60.310	344	0	50
2018.01.02	15:40:00	60.300	60.320	60.220	60.310	460	0	50
2018.01.02	16:00:00	60.310	60.480	60.290	60.360	754	0	50
2018.01.02	16:20:00	60.370	60.510	60.140	60.160	781	0	50
2018.01.02	16:40:00	60.160	60.430	60.140	60.260	849	0	50
2018.01.02	17:00:00	60.260	60.450	60.250	60.400	737	0	50
2018.01.02	17:20:00	60.410	60.450	60.150	60.230	955	0	50
2018.01.02	17:40:00	60.230	60.270	60.110	60.240	829	0	50
2018.01.02	18:00:00	60.250	60.260	60.130	60.150	718	0	50
2018.01.02	18:20:00	60.160	60.250	60.090	60.230	774	0	50
2018.01.02	18:40:00	60.240	60.250	60.200	60.220	305	0	50
2018.01.02	19:00:00	60.230	60.260	60.140	60.170	404	0	50
2018.01.02	19:20:00	60.190	60.310	60.180	60.310	400	0	50
2018.01.02	19:40:00	60.310	60.310	60.220	60.280	370	0	50
2018.01.02	20:00:00	60.260	60.290	60.230	60.240	212	0	50
2018.01.02	20:20:00	60.250	60.250	60.180	60.190	411	0	50
2018.01.02	20:40:00	60.180	60.250	60.170	60.240	228	0	50
2018.01.02	21:00:00	60.230	60.330	60.220	60.320	375	0	50
2018.01.02	21:20:00	60.330	60.370	60.270	60.370	503	0	50
2018.01.02	21:40:00	60.380	60.420	60.300	60.310	64	0	50
2018.01.02	22:00:00	60.300	60.370	60.290	60.370	79	0	50
2018.01.02	22:20:00	60.370	60.390	60.350	60.370	68	0	50
2018.01.02	22:40:00	60.380	60.380	60.350	60.350	94	0	50
2018.01.02	23:00:00	60.350	60.370	60.340	60.360	55	0	50
2018.01.02	23:20:00	60.370	60.370	60.320	60.370	82	0	50
2018.01.02	23:40:00	60.370	60.370	60.320	60.340	74	0	50
2018.01.03	01:00:00	60.360	60.440	60.360	60.430	110	0	50
2018.01.03	01:20:00	60.430	60.430	60.410	60.420	75	0	50
2018.01.03	01:40:00	60.430	60.430	60.390	60.400	48	0	50
2018.01.03	02:00:00	60.400	60.400	60.390	60.390	34	0	50
