<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:00:00	0.97855	0.97932	0.97671	0.97819	375	0	78
2018.01.02	00:20:00	0.97808	0.97902	0.97808	0.97845	374	0	66
2018.01.02	00:40:00	0.97844	0.98085	0.97839	0.98077	885	0	57
2018.01.02	01:00:00	0.98076	0.98098	0.97958	0.97975	2851	0	16
2018.01.02	01:20:00	0.97974	0.97988	0.97875	0.97875	1541	0	25
2018.01.02	01:40:00	0.97875	0.97928	0.97836	0.97915	795	0	18
2018.01.02	02:00:00	0.97916	0.97952	0.97916	0.97922	623	0	18
2018.01.02	02:20:00	0.97923	0.97968	0.97911	0.97967	784	0	19
2018.01.02	02:40:00	0.97965	0.98010	0.97960	0.98005	569	0	20
2018.01.02	03:00:00	0.98004	0.98065	0.97985	0.98051	1140	0	18
2018.01.02	03:20:00	0.98052	0.98082	0.98022	0.98070	1256	0	18
2018.01.02	03:40:00	0.98071	0.98140	0.98035	0.98062	1576	0	16
2018.01.02	04:00:00	0.98059	0.98119	0.98054	0.98078	1151	0	17
2018.01.02	04:20:00	0.98078	0.98124	0.98075	0.98092	936	0	17
2018.01.02	04:40:00	0.98093	0.98136	0.98086	0.98115	569	0	18
2018.01.02	05:00:00	0.98115	0.98206	0.98110	0.98158	969	0	19
2018.01.02	05:20:00	0.98158	0.98161	0.98131	0.98137	867	0	18
2018.01.02	05:40:00	0.98135	0.98195	0.98130	0.98183	613	0	15
2018.01.02	06:00:00	0.98185	0.98189	0.98156	0.98180	478	0	18
2018.01.02	06:20:00	0.98180	0.98185	0.98160	0.98175	518	0	15
2018.01.02	06:40:00	0.98173	0.98220	0.98170	0.98204	480	0	15
2018.01.02	07:00:00	0.98205	0.98270	0.98201	0.98264	618	0	16
2018.01.02	07:20:00	0.98265	0.98276	0.98220	0.98220	611	0	14
2018.01.02	07:40:00	0.98221	0.98249	0.98190	0.98233	804	0	16
2018.01.02	08:00:00	0.98233	0.98256	0.98210	0.98224	883	0	16
2018.01.02	08:20:00	0.98225	0.98240	0.98200	0.98206	779	0	13
2018.01.02	08:40:00	0.98206	0.98232	0.98187	0.98197	980	0	15
2018.01.02	09:00:00	0.98197	0.98224	0.98182	0.98220	1290	0	16
2018.01.02	09:20:00	0.98220	0.98228	0.98137	0.98173	1362	0	14
2018.01.02	09:40:00	0.98175	0.98239	0.98135	0.98135	1334	0	14
2018.01.02	10:00:00	0.98136	0.98158	0.98116	0.98149	1607	0	14
