<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:00:00	89.676	89.753	89.676	89.748	370	0	93
2018.01.02	00:20:00	89.748	89.749	89.669	89.683	1450	0	62
2018.01.02	00:40:00	89.680	89.701	89.676	89.676	1010	0	45
2018.01.02	01:00:00	89.676	89.720	89.639	89.700	2863	0	20
2018.01.02	01:20:00	89.701	89.806	89.692	89.794	2888	0	21
2018.01.02	01:40:00	89.795	89.829	89.791	89.802	1159	0	20
2018.01.02	02:00:00	89.803	89.823	89.783	89.823	673	0	19
2018.01.02	02:20:00	89.823	89.856	89.819	89.849	702	0	18
2018.01.02	02:40:00	89.849	89.880	89.837	89.851	824	0	18
2018.01.02	03:00:00	89.850	89.858	89.803	89.821	1395	0	18
2018.01.02	03:20:00	89.820	89.872	89.811	89.872	815	0	18
2018.01.02	03:40:00	89.871	89.886	89.845	89.863	1123	0	16
2018.01.02	04:00:00	89.861	89.873	89.841	89.853	1110	0	18
2018.01.02	04:20:00	89.854	89.877	89.831	89.838	1129	0	17
2018.01.02	04:40:00	89.838	89.845	89.820	89.834	1034	0	18
2018.01.02	05:00:00	89.833	89.884	89.815	89.880	1413	0	19
2018.01.02	05:20:00	89.883	89.909	89.865	89.901	739	0	17
2018.01.02	05:40:00	89.902	89.905	89.886	89.902	533	0	17
2018.01.02	06:00:00	89.902	89.926	89.891	89.917	760	0	16
2018.01.02	06:20:00	89.917	89.927	89.882	89.894	1754	0	17
2018.01.02	06:40:00	89.893	89.921	89.893	89.907	1507	0	17
2018.01.02	07:00:00	89.908	89.951	89.908	89.943	1052	0	16
2018.01.02	07:20:00	89.943	89.960	89.919	89.928	887	0	17
2018.01.02	07:40:00	89.930	89.946	89.902	89.914	810	0	16
2018.01.02	08:00:00	89.913	89.923	89.879	89.895	2028	0	16
2018.01.02	08:20:00	89.894	89.919	89.863	89.914	841	0	15
2018.01.02	08:40:00	89.912	89.942	89.893	89.930	831	0	13
2018.01.02	09:00:00	89.930	89.951	89.915	89.933	1526	0	15
2018.01.02	09:20:00	89.935	89.936	89.883	89.897	1567	0	16
2018.01.02	09:40:00	89.894	89.942	89.877	89.912	1537	0	12
2018.01.02	10:00:00	89.911	89.916	89.822	89.842	2828	0	14
2018.01.02	10:20:00	89.842	89.847	89.736	89.761	2648	0	12
2018.01.02	10:40:00	89.761	89.777	89.712	89.713	1743	0	12
2018.01.02	11:00:00	89.712	89.754	89.705	89.743	2107	0	15
2018.01.02	11:20:00	89.743	89.750	89.702	89.705	2159	0	14
2018.01.02	11:40:00	89.704	89.710	89.569	89.576	2103	0	14
2018.01.02	12:00:00	89.578	89.589	89.504	89.542	1545	0	13
2018.01.02	12:20:00	89.542	89.551	89.442	89.459	2046	0	12
2018.01.02	12:40:00	89.459	89.506	89.427	89.437	1792	0	12
2018.01.02	13:00:00	89.437	89.447	89.414	89.440	1214	0	15
2018.01.02	13:20:00	89.440	89.492	89.397	89.478	1458	0	12
2018.01.02	13:40:00	89.479	89.504	89.425	89.425	1281	0	12
2018.01.02	14:00:00	89.429	89.466	89.395	89.463	1660	0	13
2018.01.02	14:20:00	89.463	89.498	89.443	89.478	1808	0	12
2018.01.02	14:40:00	89.477	89.482	89.433	89.434	1274	0	14
2018.01.02	15:00:00	89.433	89.468	89.405	89.467	1642	0	12
2018.01.02	15:20:00	89.469	89.479	89.402	89.410	2459	0	12
2018.01.02	15:40:00	89.409	89.478	89.405	89.454	2033	0	12
2018.01.02	16:00:00	89.454	89.478	89.375	89.399	2119	0	12
2018.01.02	16:20:00	89.400	89.496	89.372	89.496	2257	0	12
2018.01.02	16:40:00	89.494	89.574	89.468	89.489	3024	0	12
2018.01.02	17:00:00	89.490	89.597	89.472	89.512	3120	0	12
2018.01.02	17:20:00	89.513	89.578	89.452	89.459	3005	0	12
2018.01.02	17:40:00	89.459	89.694	89.434	89.694	3081	0	12
2018.01.02	18:00:00	89.692	89.709	89.602	89.697	3348	0	12
2018.01.02	18:20:00	89.698	89.750	89.668	89.708	2345	0	12
2018.01.02	18:40:00	89.707	89.732	89.667	89.673	2262	0	12
2018.01.02	19:00:00	89.673	89.751	89.673	89.745	1585	0	12
2018.01.02	19:20:00	89.745	89.794	89.736	89.791	1478	0	12
2018.01.02	19:40:00	89.792	89.797	89.739	89.766	1546	0	12
2018.01.02	20:00:00	89.767	89.774	89.749	89.768	1330	0	12
2018.01.02	20:20:00	89.769	89.791	89.764	89.781	1073	0	13
2018.01.02	20:40:00	89.781	89.813	89.770	89.813	1238	0	13
2018.01.02	21:00:00	89.814	89.818	89.782	89.808	1162	0	12
2018.01.02	21:20:00	89.809	89.815	89.789	89.802	794	0	12
2018.01.02	21:40:00	89.802	89.815	89.738	89.740	1076	0	12
2018.01.02	22:00:00	89.741	89.760	89.725	89.736	844	0	15
2018.01.02	22:20:00	89.737	89.763	89.732	89.752	978	0	12
2018.01.02	22:40:00	89.755	89.773	89.730	89.768	1173	0	12
2018.01.02	23:00:00	89.769	89.769	89.735	89.756	746	0	15
2018.01.02	23:20:00	89.756	89.771	89.745	89.750	536	0	12
2018.01.02	23:40:00	89.751	89.758	89.705	89.730	1303	0	17
2018.01.03	00:00:00	89.706	89.773	89.692	89.721	663	0	19
2018.01.03	00:20:00	89.721	89.738	89.655	89.690	2207	0	18
2018.01.03	00:40:00	89.690	89.704	89.640	89.664	2593	0	20
2018.01.03	01:00:00	89.662	89.721	89.658	89.716	1624	0	12
2018.01.03	01:20:00	89.716	89.748	89.693	89.713	1017	0	12
2018.01.03	01:40:00	89.714	89.782	89.701	89.747	1027	0	14
2018.01.03	02:00:00	89.751	89.784	89.733	89.769	1201	0	14
2018.01.03	02:20:00	89.770	89.802	89.754	89.774	1542	0	15
2018.01.03	02:40:00	89.776	89.785	89.751	89.766	1153	0	14
2018.01.03	03:00:00	89.766	89.785	89.739	89.747	1092	0	15
2018.01.03	03:20:00	89.746	89.768	89.736	89.746	914	0	16
2018.01.03	03:40:00	89.747	89.767	89.721	89.764	1694	0	15
2018.01.03	04:00:00	89.766	89.768	89.725	89.728	1083	0	13
2018.01.03	04:20:00	89.727	89.729	89.703	89.713	1144	0	15
2018.01.03	04:40:00	89.712	89.713	89.668	89.701	1248	0	15
2018.01.03	05:00:00	89.701	89.707	89.685	89.690	851	0	14
2018.01.03	05:20:00	89.690	89.709	89.685	89.707	742	0	15
2018.01.03	05:40:00	89.707	89.715	89.691	89.713	970	0	16
2018.01.03	06:00:00	89.713	89.721	89.692	89.701	970	0	12
2018.01.03	06:20:00	89.699	89.729	89.694	89.701	623	0	16
2018.01.03	06:40:00	89.702	89.741	89.694	89.738	1064	0	15
2018.01.03	07:00:00	89.737	89.740	89.710	89.721	1260	0	16
2018.01.03	07:20:00	89.722	89.752	89.712	89.749	579	0	14
2018.01.03	07:40:00	89.749	89.752	89.727	89.739	611	0	12
2018.01.03	08:00:00	89.740	89.749	89.711	89.732	1193	0	14
2018.01.03	08:20:00	89.732	89.735	89.714	89.735	1120	0	16
2018.01.03	08:40:00	89.734	89.739	89.664	89.683	867	0	15
2018.01.03	09:00:00	89.684	89.762	89.684	89.716	2012	0	15
2018.01.03	09:20:00	89.716	89.744	89.701	89.730	1301	0	15
2018.01.03	09:40:00	89.730	89.759	89.697	89.749	1450	0	14
2018.01.03	10:00:00	89.750	89.781	89.671	89.671	2142	0	16
2018.01.03	10:20:00	89.671	89.722	89.641	89.699	1807	0	12
2018.01.03	10:40:00	89.699	89.769	89.698	89.752	952	0	12
2018.01.03	11:00:00	89.751	89.805	89.746	89.749	1185	0	13
2018.01.03	11:20:00	89.750	89.754	89.696	89.702	1389	0	14
2018.01.03	11:40:00	89.702	89.746	89.669	89.670	1028	0	12
2018.01.03	12:00:00	89.671	89.680	89.651	89.667	1396	0	12
2018.01.03	12:20:00	89.667	89.709	89.647	89.654	1585	0	12
2018.01.03	12:40:00	89.655	89.675	89.611	89.622	1649	0	14
2018.01.03	13:00:00	89.622	89.653	89.605	89.615	1540	0	12
2018.01.03	13:20:00	89.616	89.666	89.612	89.614	1038	0	12
2018.01.03	13:40:00	89.616	89.646	89.613	89.620	1107	0	15
2018.01.03	14:00:00	89.621	89.636	89.563	89.609	1661	0	14
2018.01.03	14:20:00	89.607	89.646	89.570	89.643	1324	0	13
2018.01.03	14:40:00	89.642	89.674	89.597	89.655	1429	0	12
2018.01.03	15:00:00	89.656	89.692	89.634	89.688	1711	0	12
2018.01.03	15:20:00	89.687	89.800	89.656	89.658	1942	0	12
2018.01.03	15:40:00	89.658	89.710	89.583	89.600	1728	0	13
2018.01.03	16:00:00	89.598	89.628	89.539	89.577	1996	0	13
2018.01.03	16:20:00	89.578	89.608	89.535	89.557	2051	0	12
2018.01.03	16:40:00	89.558	89.587	89.511	89.554	2661	0	12
2018.01.03	17:00:00	89.554	89.661	89.554	89.649	3229	0	12
2018.01.03	17:20:00	89.649	89.794	89.646	89.731	2864	0	13
2018.01.03	17:40:00	89.728	89.783	89.639	89.644	2911	0	12
2018.01.03	18:00:00	89.645	89.652	89.553	89.591	2685	0	12
2018.01.03	18:20:00	89.591	89.605	89.568	89.596	1564	0	13
2018.01.03	18:40:00	89.596	89.611	89.551	89.575	1741	0	12
2018.01.03	19:00:00	89.574	89.631	89.567	89.577	1283	0	12
2018.01.03	19:20:00	89.575	89.597	89.554	89.595	1097	0	12
2018.01.03	19:40:00	89.596	89.618	89.584	89.592	890	0	12
2018.01.03	20:00:00	89.593	89.615	89.577	89.600	811	0	14
2018.01.03	20:20:00	89.601	89.613	89.571	89.608	875	0	14
2018.01.03	20:40:00	89.609	89.640	89.534	89.566	1270	0	12
2018.01.03	21:00:00	89.564	89.722	89.563	89.720	3048	0	12
2018.01.03	21:20:00	89.721	89.729	89.665	89.709	1788	0	13
2018.01.03	21:40:00	89.707	89.753	89.698	89.748	1594	0	13
2018.01.03	22:00:00	89.751	89.773	89.714	89.731	1156	0	13
2018.01.03	22:20:00	89.731	89.732	89.690	89.690	1101	0	14
2018.01.03	22:40:00	89.691	89.703	89.663	89.683	1490	0	13
2018.01.03	23:00:00	89.684	89.700	89.668	89.695	650	0	15
2018.01.03	23:20:00	89.695	89.726	89.667	89.689	745	0	14
2018.01.03	23:40:00	89.691	89.747	89.671	89.733	1763	0	12
2018.01.04	00:00:00	89.733	89.743	89.678	89.721	1698	0	17
2018.01.04	00:20:00	89.719	89.770	89.719	89.745	1056	0	24
2018.01.04	00:40:00	89.744	89.767	89.728	89.730	1537	0	17
2018.01.04	01:00:00	89.731	89.767	89.724	89.764	1451	0	16
2018.01.04	01:20:00	89.764	89.790	89.750	89.776	567	0	17
2018.01.04	01:40:00	89.777	89.779	89.735	89.744	872	0	17
2018.01.04	02:00:00	89.747	89.824	89.744	89.783	1770	0	13
2018.01.04	02:20:00	89.783	89.810	89.771	89.810	1868	0	16
2018.01.04	02:40:00	89.810	89.824	89.791	89.800	1933	0	16
2018.01.04	03:00:00	89.799	89.817	89.791	89.795	1398	0	14
2018.01.04	03:20:00	89.796	89.834	89.790	89.821	2701	0	17
2018.01.04	03:40:00	89.821	89.853	89.815	89.827	964	0	14
2018.01.04	04:00:00	89.826	89.840	89.802	89.816	1392	0	14
2018.01.04	04:20:00	89.816	89.844	89.806	89.810	1623	0	16
2018.01.04	04:40:00	89.810	89.826	89.796	89.826	2054	0	16
2018.01.04	05:00:00	89.827	89.858	89.821	89.842	1322	0	13
2018.01.04	05:20:00	89.842	89.846	89.816	89.829	743	0	16
2018.01.04	05:40:00	89.829	89.852	89.821	89.844	636	0	15
2018.01.04	06:00:00	89.844	89.856	89.825	89.851	691	0	14
2018.01.04	06:20:00	89.852	89.880	89.843	89.857	1138	0	15
2018.01.04	06:40:00	89.857	89.881	89.853	89.879	956	0	13
2018.01.04	07:00:00	89.879	89.881	89.860	89.870	645	0	16
2018.01.04	07:20:00	89.872	89.886	89.859	89.875	945	0	13
2018.01.04	07:40:00	89.875	89.908	89.867	89.901	1066	0	15
2018.01.04	08:00:00	89.901	89.901	89.854	89.869	1644	0	13
2018.01.04	08:20:00	89.868	89.902	89.854	89.872	1490	0	13
