<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	09:00:00	12918.05	12943.35	12913.45	12930.05	1415	0	50
2018.01.02	09:20:00	12930.45	12939.85	12907.05	12918.63	1618	0	50
2018.01.02	09:40:00	12918.55	12922.55	12903.35	12916.05	1580	0	50
2018.01.02	10:00:00	12915.85	12915.85	12830.87	12836.72	5315	0	50
2018.01.02	10:20:00	12836.97	12839.57	12783.05	12816.07	4587	0	50
2018.01.02	10:40:00	12816.15	12822.15	12808.85	12813.07	2312	0	53
2018.01.02	11:00:00	12813.05	12828.97	12797.72	12822.35	2355	0	50
2018.01.02	11:20:00	12822.05	12839.85	12797.15	12800.85	2658	0	50
2018.01.02	11:40:00	12800.57	12808.47	12736.22	12762.91	3367	0	50
2018.01.02	12:00:00	12762.41	12806.57	12761.55	12800.82	2865	0	50
2018.01.02	12:20:00	12800.85	12809.05	12785.05	12806.57	2001	0	50
2018.01.02	12:40:00	12806.55	12826.22	12800.55	12812.85	1735	0	50
2018.01.02	13:00:00	12812.22	12822.66	12806.41	12806.85	1416	0	50
2018.01.02	13:20:00	12806.85	12835.35	12799.05	12821.35	1891	0	50
2018.01.02	13:40:00	12821.07	12827.35	12809.85	12817.35	1752	0	53
2018.01.02	14:00:00	12817.55	12827.35	12806.55	12823.35	1766	0	50
2018.01.02	14:20:00	12822.85	12823.07	12807.47	12815.22	1539	0	50
2018.01.02	14:40:00	12815.47	12822.35	12810.85	12813.55	1136	0	52
2018.01.02	15:00:00	12813.35	12822.35	12806.55	12813.35	1256	0	53
2018.01.02	15:20:00	12813.35	12823.07	12809.51	12817.05	1328	0	50
2018.01.02	15:40:00	12816.85	12818.85	12796.55	12797.07	954	0	50
2018.01.02	16:00:00	12797.05	12818.22	12790.35	12815.47	1972	0	50
2018.01.02	16:20:00	12815.47	12824.05	12799.05	12821.85	2562	0	50
2018.01.02	16:40:00	12821.72	12864.07	12819.66	12860.47	3336	0	50
2018.01.02	17:00:00	12859.47	12903.47	12859.47	12898.91	3057	0	50
2018.01.02	17:20:00	12899.41	12922.05	12896.95	12898.05	3438	0	50
2018.01.02	17:40:00	12897.55	12901.05	12863.35	12880.35	2176	0	50
2018.01.02	18:00:00	12880.35	12886.66	12868.05	12871.55	2003	0	50
2018.01.02	18:20:00	12871.35	12871.35	12842.55	12856.85	3319	0	50
2018.01.02	18:40:00	12856.65	12870.65	12851.15	12866.15	1863	0	50
2018.01.02	19:00:00	12866.15	12886.85	12862.55	12886.15	1310	0	50
2018.01.02	19:20:00	12886.05	12887.15	12868.15	12873.35	1248	0	50
2018.01.02	19:40:00	12873.35	12874.55	12862.55	12871.85	883	0	50
2018.01.02	20:00:00	12871.91	12879.05	12864.91	12876.05	885	0	50
2018.01.02	20:20:00	12876.16	12878.35	12871.85	12872.66	662	0	54
2018.01.02	20:40:00	12872.85	12883.55	12869.85	12881.05	636	0	53
