<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:00:00	1.53837	1.53861	1.53699	1.53806	482	0	74
2018.01.02	00:20:00	1.53804	1.53965	1.53779	1.53944	500	0	42
2018.01.02	00:40:00	1.53944	1.53968	1.53646	1.53712	402	0	30
2018.01.02	01:00:00	1.53720	1.53954	1.53659	1.53926	4196	0	16
2018.01.02	01:20:00	1.53926	1.54031	1.53896	1.54030	2834	0	16
2018.01.02	01:40:00	1.54029	1.54084	1.53966	1.53998	2178	0	16
2018.01.02	02:00:00	1.53994	1.53997	1.53921	1.53993	1526	0	16
2018.01.02	02:20:00	1.53993	1.54013	1.53833	1.53833	1701	0	16
2018.01.02	02:40:00	1.53834	1.53835	1.53753	1.53790	1652	0	16
2018.01.02	03:00:00	1.53789	1.53840	1.53754	1.53773	2708	0	16
2018.01.02	03:20:00	1.53774	1.53811	1.53631	1.53646	2274	0	16
2018.01.02	03:40:00	1.53647	1.53704	1.53548	1.53660	2757	0	16
2018.01.02	04:00:00	1.53664	1.53680	1.53545	1.53598	2138	0	16
2018.01.02	04:20:00	1.53597	1.53610	1.53529	1.53588	1911	0	16
2018.01.02	04:40:00	1.53587	1.53593	1.53486	1.53533	1475	0	16
2018.01.02	05:00:00	1.53533	1.53575	1.53422	1.53465	2263	0	16
2018.01.02	05:20:00	1.53465	1.53515	1.53436	1.53472	1832	0	16
2018.01.02	05:40:00	1.53473	1.53493	1.53324	1.53325	1804	0	16
2018.01.02	06:00:00	1.53324	1.53397	1.53324	1.53394	1446	0	16
2018.01.02	06:20:00	1.53394	1.53453	1.53388	1.53403	1490	0	16
2018.01.02	06:40:00	1.53404	1.53418	1.53335	1.53367	1165	0	16
2018.01.02	07:00:00	1.53367	1.53368	1.53224	1.53232	1573	0	16
2018.01.02	07:20:00	1.53231	1.53347	1.53221	1.53345	1535	0	16
2018.01.02	07:40:00	1.53345	1.53414	1.53299	1.53369	1798	0	16
2018.01.02	08:00:00	1.53369	1.53438	1.53361	1.53415	2232	0	16
2018.01.02	08:20:00	1.53414	1.53461	1.53384	1.53417	1770	0	16
2018.01.02	08:40:00	1.53417	1.53471	1.53369	1.53423	1951	0	16
2018.01.02	09:00:00	1.53423	1.53448	1.53281	1.53329	2740	0	16
2018.01.02	09:20:00	1.53329	1.53506	1.53329	1.53481	2942	0	16
2018.01.02	09:40:00	1.53482	1.53605	1.53464	1.53604	2996	0	16
2018.01.02	10:00:00	1.53600	1.53695	1.53579	1.53678	3405	0	16
2018.01.02	10:20:00	1.53677	1.53706	1.53532	1.53539	3826	0	16
2018.01.02	10:40:00	1.53539	1.53680	1.53530	1.53649	2618	0	16
2018.01.02	11:00:00	1.53646	1.53676	1.53608	1.53636	2700	0	16
2018.01.02	11:20:00	1.53637	1.53675	1.53629	1.53662	2404	0	16
2018.01.02	11:40:00	1.53663	1.54044	1.53660	1.54043	3783	0	16
2018.01.02	12:00:00	1.54046	1.54104	1.53991	1.53992	3598	0	16
2018.01.02	12:20:00	1.53993	1.54075	1.53963	1.54028	2999	0	16
2018.01.02	12:40:00	1.54028	1.54078	1.53928	1.53960	3326	0	16
2018.01.02	13:00:00	1.53960	1.54057	1.53935	1.54049	2431	0	16
2018.01.02	13:20:00	1.54049	1.54128	1.54005	1.54073	2373	0	16
2018.01.02	13:40:00	1.54072	1.54202	1.54059	1.54157	2465	0	16
2018.01.02	14:00:00	1.54156	1.54182	1.54001	1.54020	3018	0	16
2018.01.02	14:20:00	1.54017	1.54029	1.53916	1.54013	2479	0	16
2018.01.02	14:40:00	1.54011	1.54103	1.54001	1.54086	2949	0	16
2018.01.02	15:00:00	1.54087	1.54138	1.54037	1.54130	3121	0	16
2018.01.02	15:20:00	1.54130	1.54193	1.54049	1.54171	3246	0	16
2018.01.02	15:40:00	1.54171	1.54290	1.54147	1.54187	3161	0	16
2018.01.02	16:00:00	1.54186	1.54195	1.53991	1.53997	3485	0	16
2018.01.02	16:20:00	1.53996	1.54032	1.53939	1.53977	3545	0	16
2018.01.02	16:40:00	1.53977	1.54022	1.53865	1.53933	4421	0	16
2018.01.02	17:00:00	1.53932	1.53932	1.53803	1.53819	4471	0	16
2018.01.02	17:20:00	1.53819	1.53845	1.53724	1.53736	3916	0	16
2018.01.02	17:40:00	1.53735	1.53810	1.53717	1.53788	3866	0	16
2018.01.02	18:00:00	1.53789	1.53948	1.53777	1.53930	3925	0	16
2018.01.02	18:20:00	1.53930	1.54017	1.53924	1.53968	3198	0	16
2018.01.02	18:40:00	1.53969	1.54105	1.53962	1.54004	3384	0	16
2018.01.02	19:00:00	1.54004	1.54008	1.53913	1.53942	2482	0	16
2018.01.02	19:20:00	1.53942	1.53971	1.53901	1.53908	2171	0	16
2018.01.02	19:40:00	1.53907	1.53955	1.53888	1.53938	2420	0	16
2018.01.02	20:00:00	1.53936	1.53949	1.53890	1.53921	1943	0	16
2018.01.02	20:20:00	1.53921	1.53969	1.53921	1.53929	1596	0	16
2018.01.02	20:40:00	1.53930	1.53933	1.53861	1.53867	1827	0	16
2018.01.02	21:00:00	1.53868	1.53900	1.53833	1.53841	1648	0	16
2018.01.02	21:20:00	1.53842	1.53884	1.53837	1.53880	1129	0	16
2018.01.02	21:40:00	1.53880	1.53917	1.53870	1.53898	2151	0	16
2018.01.02	22:00:00	1.53899	1.53972	1.53895	1.53937	1758	0	16
2018.01.02	22:20:00	1.53937	1.53949	1.53895	1.53948	1661	0	16
2018.01.02	22:40:00	1.53948	1.53973	1.53920	1.53948	1770	0	16
2018.01.02	23:00:00	1.53949	1.54023	1.53923	1.53933	1374	0	16
2018.01.02	23:20:00	1.53932	1.53979	1.53889	1.53940	994	0	16
2018.01.02	23:40:00	1.53941	1.54032	1.53936	1.53952	1415	0	16
2018.01.03	00:00:00	1.53952	1.54010	1.53906	1.53948	174	0	30
2018.01.03	00:20:00	1.53948	1.53983	1.53922	1.53972	368	0	35
2018.01.03	00:40:00	1.53970	1.54070	1.53970	1.54047	763	0	23
2018.01.03	01:00:00	1.54049	1.54079	1.53996	1.54027	2911	0	16
2018.01.03	01:20:00	1.54026	1.54026	1.53941	1.53994	1578	0	16
2018.01.03	01:40:00	1.53994	1.54036	1.53949	1.54021	1475	0	16
2018.01.03	02:00:00	1.54025	1.54028	1.53898	1.53908	1625	0	16
2018.01.03	02:20:00	1.53909	1.54001	1.53880	1.53978	2368	0	16
2018.01.03	02:40:00	1.53977	1.54131	1.53973	1.54085	2151	0	16
2018.01.03	03:00:00	1.54084	1.54099	1.54010	1.54059	2233	0	16
2018.01.03	03:20:00	1.54059	1.54121	1.54028	1.54070	2193	0	16
2018.01.03	03:40:00	1.54069	1.54104	1.53987	1.54088	2521	0	16
2018.01.03	04:00:00	1.54088	1.54103	1.54038	1.54040	2091	0	16
2018.01.03	04:20:00	1.54039	1.54092	1.54009	1.54055	2144	0	16
2018.01.03	04:40:00	1.54056	1.54296	1.54055	1.54234	2916	0	16
2018.01.03	05:00:00	1.54234	1.54301	1.54200	1.54297	2018	0	16
2018.01.03	05:20:00	1.54298	1.54305	1.54197	1.54249	1280	0	16
2018.01.03	05:40:00	1.54248	1.54263	1.54189	1.54208	1274	0	16
2018.01.03	06:00:00	1.54210	1.54304	1.54201	1.54287	1729	0	16
2018.01.03	06:20:00	1.54285	1.54285	1.54171	1.54187	1598	0	16
2018.01.03	06:40:00	1.54188	1.54212	1.54150	1.54176	1311	0	16
2018.01.03	07:00:00	1.54176	1.54229	1.54170	1.54208	1208	0	16
2018.01.03	07:20:00	1.54208	1.54209	1.54124	1.54126	1639	0	16
2018.01.03	07:40:00	1.54127	1.54171	1.54114	1.54145	1740	0	16
2018.01.03	08:00:00	1.54144	1.54181	1.54110	1.54130	2034	0	16
2018.01.03	08:20:00	1.54131	1.54166	1.54120	1.54155	1874	0	16
2018.01.03	08:40:00	1.54156	1.54173	1.54073	1.54085	2381	0	16
2018.01.03	09:00:00	1.54084	1.54160	1.54045	1.54105	3636	0	16
2018.01.03	09:20:00	1.54105	1.54105	1.53991	1.53994	2952	0	16
2018.01.03	09:40:00	1.53994	1.54052	1.53928	1.53933	2990	0	16
2018.01.03	10:00:00	1.53932	1.53993	1.53901	1.53937	3437	0	16
2018.01.03	10:20:00	1.53936	1.53936	1.53750	1.53750	2886	0	16
2018.01.03	10:40:00	1.53751	1.53760	1.53643	1.53719	2183	0	16
2018.01.03	11:00:00	1.53719	1.53723	1.53544	1.53557	2680	0	16
