<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	01:00:00	1.08409	1.08570	1.08409	1.08564	905	0	15
2020.01.02	02:00:00	1.08565	1.08633	1.08560	1.08618	1198	0	10
2020.01.02	03:00:00	1.08618	1.08643	1.08579	1.08605	1150	0	13
2020.01.02	04:00:00	1.08605	1.08648	1.08600	1.08623	778	0	5
2020.01.02	05:00:00	1.08624	1.08657	1.08615	1.08623	1144	0	12
2020.01.02	06:00:00	1.08623	1.08660	1.08585	1.08629	1120	0	8
2020.01.02	07:00:00	1.08629	1.08708	1.08629	1.08698	1475	0	9
2020.01.02	08:00:00	1.08699	1.08774	1.08686	1.08725	1300	0	10
2020.01.02	09:00:00	1.08724	1.08758	1.08689	1.08728	2455	0	4
2020.01.02	10:00:00	1.08729	1.08759	1.08627	1.08627	2745	0	8
2020.01.02	11:00:00	1.08627	1.08657	1.08502	1.08614	2517	0	9
2020.01.02	12:00:00	1.08614	1.08624	1.08493	1.08605	2381	0	9
2020.01.02	13:00:00	1.08605	1.08650	1.08571	1.08591	3023	0	8
2020.01.02	14:00:00	1.08591	1.08694	1.08563	1.08688	2064	0	10
2020.01.02	15:00:00	1.08688	1.08688	1.08598	1.08634	2471	0	8
2020.01.02	16:00:00	1.08633	1.08633	1.08460	1.08525	3959	0	7
2020.01.02	17:00:00	1.08526	1.08554	1.08362	1.08545	4705	0	8
2020.01.02	18:00:00	1.08545	1.08621	1.08523	1.08551	3859	0	8
2020.01.02	19:00:00	1.08551	1.08673	1.08543	1.08659	2695	0	7
2020.01.02	20:00:00	1.08655	1.08657	1.08589	1.08602	1756	0	7
2020.01.02	21:00:00	1.08602	1.08627	1.08564	1.08564	1313	0	9
2020.01.02	22:00:00	1.08567	1.08588	1.08458	1.08495	1943	0	9
2020.01.02	23:00:00	1.08494	1.08524	1.08472	1.08472	905	0	10
2020.01.03	00:00:00	1.08472	1.08533	1.08450	1.08505	612	0	13
2020.01.03	01:00:00	1.08507	1.08546	1.08484	1.08513	832	0	8
2020.01.03	02:00:00	1.08513	1.08544	1.08500	1.08522	1063	0	4
2020.01.03	03:00:00	1.08522	1.08545	1.08394	1.08399	1438	0	13
2020.01.03	04:00:00	1.08399	1.08423	1.08273	1.08297	2090	0	10
2020.01.03	05:00:00	1.08297	1.08346	1.08281	1.08331	1326	0	11
2020.01.03	06:00:00	1.08331	1.08380	1.08321	1.08356	1205	0	10
2020.01.03	07:00:00	1.08356	1.08439	1.08322	1.08389	1647	0	9
2020.01.03	08:00:00	1.08390	1.08421	1.08352	1.08412	1179	0	11
2020.01.03	09:00:00	1.08412	1.08418	1.08233	1.08290	3938	0	4
2020.01.03	10:00:00	1.08289	1.08497	1.08261	1.08394	3649	0	4
2020.01.03	11:00:00	1.08394	1.08449	1.08333	1.08441	3391	0	8
2020.01.03	12:00:00	1.08441	1.08491	1.08375	1.08406	3352	0	4
2020.01.03	13:00:00	1.08406	1.08431	1.08300	1.08357	2733	0	9
2020.01.03	14:00:00	1.08357	1.08392	1.08302	1.08333	2301	0	8
2020.01.03	15:00:00	1.08334	1.08443	1.08330	1.08370	2806	0	8
2020.01.03	16:00:00	1.08368	1.08533	1.08358	1.08533	3583	0	4
2020.01.03	17:00:00	1.08511	1.08526	1.08338	1.08358	5644	0	7
2020.01.03	18:00:00	1.08357	1.08503	1.08355	1.08402	3014	0	9
2020.01.03	19:00:00	1.08402	1.08461	1.08400	1.08457	1484	0	9
2020.01.03	20:00:00	1.08457	1.08580	1.08439	1.08543	2390	0	11
2020.01.03	21:00:00	1.08543	1.08568	1.08500	1.08500	2654	0	8
2020.01.03	22:00:00	1.08502	1.08543	1.08489	1.08506	1326	0	10
2020.01.03	23:00:00	1.08503	1.08508	1.08432	1.08464	1123	0	12
2020.01.06	00:00:00	1.08294	1.08383	1.08294	1.08306	806	0	4
2020.01.06	01:00:00	1.08300	1.08441	1.08300	1.08427	2252	0	13
2020.01.06	02:00:00	1.08425	1.08472	1.08411	1.08450	1364	0	11
2020.01.06	03:00:00	1.08450	1.08460	1.08374	1.08404	1725	0	7
2020.01.06	04:00:00	1.08404	1.08440	1.08395	1.08411	1135	0	13
2020.01.06	05:00:00	1.08412	1.08441	1.08394	1.08433	1647	0	13
2020.01.06	06:00:00	1.08433	1.08434	1.08411	1.08430	1097	0	13
2020.01.06	07:00:00	1.08429	1.08437	1.08397	1.08409	617	0	11
2020.01.06	08:00:00	1.08409	1.08411	1.08324	1.08377	1144	0	10
2020.01.06	09:00:00	1.08377	1.08461	1.08363	1.08438	2167	0	6
2020.01.06	10:00:00	1.08444	1.08478	1.08408	1.08434	3434	0	8
2020.01.06	11:00:00	1.08432	1.08458	1.08378	1.08450	2581	0	10
