<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:00:00	0.88863	0.88863	0.88759	0.88775	119	0	87
2018.01.02	00:20:00	0.88775	0.88834	0.88775	0.88826	90	0	108
2018.01.02	00:40:00	0.88834	0.88854	0.88825	0.88840	517	0	25
2018.01.02	01:00:00	0.88829	0.88901	0.88785	0.88859	2262	0	6
2018.01.02	01:20:00	0.88860	0.88904	0.88832	0.88876	1702	0	6
2018.01.02	01:40:00	0.88877	0.88896	0.88847	0.88896	1700	0	8
2018.01.02	02:00:00	0.88894	0.88917	0.88879	0.88905	560	0	8
2018.01.02	02:20:00	0.88905	0.88925	0.88856	0.88857	558	0	8
2018.01.02	02:40:00	0.88857	0.88922	0.88852	0.88920	768	0	6
2018.01.02	03:00:00	0.88920	0.88926	0.88899	0.88907	920	0	6
2018.01.02	03:20:00	0.88908	0.88924	0.88905	0.88922	543	0	7
2018.01.02	03:40:00	0.88921	0.88924	0.88901	0.88909	751	0	6
2018.01.02	04:00:00	0.88908	0.88917	0.88901	0.88905	438	0	7
2018.01.02	04:20:00	0.88904	0.88905	0.88867	0.88868	507	0	7
2018.01.02	04:40:00	0.88867	0.88873	0.88844	0.88873	419	0	8
2018.01.02	05:00:00	0.88874	0.88898	0.88858	0.88887	575	0	6
2018.01.02	05:20:00	0.88884	0.88891	0.88877	0.88886	524	0	7
2018.01.02	05:40:00	0.88885	0.88889	0.88854	0.88857	569	0	7
2018.01.02	06:00:00	0.88858	0.88889	0.88858	0.88888	371	0	7
2018.01.02	06:20:00	0.88889	0.88916	0.88887	0.88899	500	0	6
2018.01.02	06:40:00	0.88899	0.88922	0.88899	0.88921	300	0	6
2018.01.02	07:00:00	0.88920	0.88923	0.88902	0.88903	333	0	8
2018.01.02	07:20:00	0.88903	0.88922	0.88903	0.88916	329	0	6
2018.01.02	07:40:00	0.88915	0.88946	0.88908	0.88917	571	0	6
2018.01.02	08:00:00	0.88918	0.88946	0.88911	0.88930	841	0	6
2018.01.02	08:20:00	0.88930	0.88944	0.88923	0.88927	562	0	6
2018.01.02	08:40:00	0.88928	0.88964	0.88921	0.88953	730	0	7
2018.01.02	09:00:00	0.88952	0.88959	0.88863	0.88889	1482	0	6
2018.01.02	09:20:00	0.88889	0.88943	0.88885	0.88938	1551	0	6
2018.01.02	09:40:00	0.88938	0.88994	0.88908	0.88925	1981	0	6
2018.01.02	10:00:00	0.88926	0.88926	0.88863	0.88874	1904	0	6
2018.01.02	10:20:00	0.88874	0.88910	0.88818	0.88850	2241	0	6
2018.01.02	10:40:00	0.88850	0.88916	0.88837	0.88867	1523	0	6
2018.01.02	11:00:00	0.88868	0.88881	0.88838	0.88859	1538	0	6
2018.01.02	11:20:00	0.88860	0.88967	0.88860	0.88895	1707	0	6
2018.01.02	11:40:00	0.88895	0.89107	0.88884	0.89088	2368	0	6
2018.01.02	12:00:00	0.89088	0.89178	0.89047	0.89051	2092	0	6
2018.01.02	12:20:00	0.89052	0.89146	0.89030	0.89108	1685	0	6
2018.01.02	12:40:00	0.89109	0.89154	0.88996	0.89014	1982	0	6
2018.01.02	13:00:00	0.89014	0.89031	0.88970	0.89002	1636	0	6
2018.01.02	13:20:00	0.89001	0.89121	0.88997	0.89089	1373	0	6
2018.01.02	13:40:00	0.89090	0.89112	0.88984	0.88988	1445	0	6
2018.01.02	14:00:00	0.88988	0.88997	0.88908	0.88920	2059	0	6
2018.01.02	14:20:00	0.88920	0.88961	0.88908	0.88935	1380	0	6
2018.01.02	14:40:00	0.88935	0.88972	0.88930	0.88941	1561	0	6
2018.01.02	15:00:00	0.88941	0.88970	0.88929	0.88954	1388	0	6
2018.01.02	15:20:00	0.88953	0.88975	0.88930	0.88957	1788	0	6
2018.01.02	15:40:00	0.88956	0.88965	0.88926	0.88932	1391	0	6
2018.01.02	16:00:00	0.88932	0.88951	0.88890	0.88895	1837	0	6
2018.01.02	16:20:00	0.88894	0.88908	0.88858	0.88874	1473	0	6
2018.01.02	16:40:00	0.88874	0.88899	0.88830	0.88856	2040	0	6
2018.01.02	17:00:00	0.88859	0.88904	0.88789	0.88790	2261	0	6
2018.01.02	17:20:00	0.88789	0.88829	0.88728	0.88734	2270	0	6
2018.01.02	17:40:00	0.88734	0.88751	0.88645	0.88697	2543	0	6
2018.01.02	18:00:00	0.88702	0.88749	0.88697	0.88716	2512	0	6
2018.01.02	18:20:00	0.88716	0.88730	0.88689	0.88715	1965	0	6
2018.01.02	18:40:00	0.88714	0.88741	0.88609	0.88626	2106	0	6
2018.01.02	19:00:00	0.88626	0.88643	0.88585	0.88630	1726	0	6
2018.01.02	19:20:00	0.88630	0.88656	0.88596	0.88635	1279	0	6
2018.01.02	19:40:00	0.88635	0.88675	0.88612	0.88664	1426	0	6
2018.01.02	20:00:00	0.88664	0.88688	0.88651	0.88666	1154	0	6
2018.01.02	20:20:00	0.88666	0.88689	0.88663	0.88672	741	0	6
2018.01.02	20:40:00	0.88671	0.88675	0.88614	0.88625	777	0	6
2018.01.02	21:00:00	0.88624	0.88632	0.88592	0.88603	795	0	6
2018.01.02	21:20:00	0.88603	0.88635	0.88588	0.88626	564	0	6
2018.01.02	21:40:00	0.88626	0.88663	0.88623	0.88647	698	0	6
2018.01.02	22:00:00	0.88649	0.88662	0.88624	0.88635	941	0	6
2018.01.02	22:20:00	0.88634	0.88662	0.88631	0.88654	593	0	6
2018.01.02	22:40:00	0.88654	0.88688	0.88640	0.88688	1043	0	6
2018.01.02	23:00:00	0.88688	0.88727	0.88670	0.88679	808	0	6
2018.01.02	23:20:00	0.88680	0.88698	0.88670	0.88691	549	0	8
2018.01.02	23:40:00	0.88691	0.88735	0.88688	0.88706	1058	0	7
2018.01.03	00:00:00	0.88707	0.88734	0.88671	0.88702	721	0	6
2018.01.03	00:20:00	0.88701	0.88710	0.88690	0.88708	880	0	8
2018.01.03	00:40:00	0.88708	0.88717	0.88694	0.88713	633	0	7
2018.01.03	01:00:00	0.88713	0.88734	0.88703	0.88730	1402	0	6
2018.01.03	01:20:00	0.88730	0.88734	0.88709	0.88723	762	0	8
2018.01.03	01:40:00	0.88724	0.88733	0.88703	0.88719	372	0	8
2018.01.03	02:00:00	0.88718	0.88726	0.88684	0.88684	527	0	6
2018.01.03	02:20:00	0.88684	0.88689	0.88636	0.88686	712	0	7
2018.01.03	02:40:00	0.88685	0.88729	0.88684	0.88695	735	0	8
2018.01.03	03:00:00	0.88695	0.88710	0.88682	0.88684	694	0	6
2018.01.03	03:20:00	0.88683	0.88695	0.88650	0.88650	654	0	6
2018.01.03	03:40:00	0.88649	0.88655	0.88589	0.88602	898	0	6
2018.01.03	04:00:00	0.88603	0.88628	0.88585	0.88597	943	0	6
2018.01.03	04:20:00	0.88598	0.88615	0.88584	0.88586	761	0	6
2018.01.03	04:40:00	0.88588	0.88627	0.88573	0.88605	744	0	6
2018.01.03	05:00:00	0.88604	0.88616	0.88587	0.88596	447	0	6
2018.01.03	05:20:00	0.88596	0.88605	0.88585	0.88605	283	0	7
2018.01.03	05:40:00	0.88604	0.88616	0.88604	0.88608	367	0	6
2018.01.03	06:00:00	0.88609	0.88619	0.88600	0.88614	349	0	6
2018.01.03	06:20:00	0.88614	0.88619	0.88595	0.88605	416	0	6
2018.01.03	06:40:00	0.88606	0.88618	0.88582	0.88612	504	0	7
2018.01.03	07:00:00	0.88611	0.88616	0.88603	0.88613	405	0	6
2018.01.03	07:20:00	0.88613	0.88625	0.88602	0.88613	424	0	6
2018.01.03	07:40:00	0.88613	0.88646	0.88609	0.88620	662	0	6
2018.01.03	08:00:00	0.88620	0.88640	0.88590	0.88593	938	0	6
2018.01.03	08:20:00	0.88594	0.88603	0.88570	0.88593	1011	0	6
2018.01.03	08:40:00	0.88592	0.88609	0.88572	0.88591	1293	0	6
2018.01.03	09:00:00	0.88590	0.88597	0.88539	0.88584	2056	0	6
2018.01.03	09:20:00	0.88583	0.88602	0.88541	0.88543	1592	0	6
2018.01.03	09:40:00	0.88543	0.88584	0.88519	0.88553	1547	0	6
2018.01.03	10:00:00	0.88554	0.88562	0.88479	0.88558	2378	0	6
2018.01.03	10:20:00	0.88558	0.88577	0.88506	0.88563	1231	0	6
2018.01.03	10:40:00	0.88564	0.88601	0.88527	0.88586	1301	0	6
2018.01.03	11:00:00	0.88586	0.88603	0.88517	0.88528	1381	0	6
2018.01.03	11:20:00	0.88528	0.88609	0.88526	0.88577	1587	0	6
2018.01.03	11:40:00	0.88577	0.88643	0.88571	0.88607	1412	0	6
2018.01.03	12:00:00	0.88607	0.88621	0.88567	0.88606	1403	0	6
2018.01.03	12:20:00	0.88606	0.88620	0.88513	0.88520	2385	0	6
2018.01.03	12:40:00	0.88521	0.88555	0.88490	0.88520	1844	0	6
2018.01.03	13:00:00	0.88521	0.88582	0.88495	0.88561	2271	0	6
2018.01.03	13:20:00	0.88560	0.88590	0.88534	0.88585	1571	0	6
2018.01.03	13:40:00	0.88585	0.88610	0.88560	0.88584	1258	0	6
2018.01.03	14:00:00	0.88585	0.88658	0.88571	0.88616	1398	0	6
2018.01.03	14:20:00	0.88614	0.88648	0.88586	0.88622	1131	0	6
2018.01.03	14:40:00	0.88622	0.88638	0.88599	0.88637	1321	0	6
2018.01.03	15:00:00	0.88638	0.88684	0.88608	0.88654	1628	0	6
2018.01.03	15:20:00	0.88654	0.88715	0.88652	0.88714	1403	0	6
2018.01.03	15:40:00	0.88715	0.88746	0.88678	0.88720	1512	0	6
2018.01.03	16:00:00	0.88720	0.88750	0.88700	0.88746	1402	0	6
