<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:00:00	135.226	135.292	135.177	135.285	718	0	15
2018.01.02	00:20:00	135.278	135.284	135.175	135.266	1496	0	9
2018.01.02	00:40:00	135.265	135.296	135.258	135.278	1796	0	10
2018.01.02	01:00:00	135.281	135.369	135.161	135.351	3935	0	8
2018.01.02	01:20:00	135.349	135.457	135.315	135.428	2707	0	10
2018.01.02	01:40:00	135.427	135.486	135.422	135.452	3273	0	8
2018.01.02	02:00:00	135.450	135.490	135.413	135.489	1254	0	8
2018.01.02	02:20:00	135.492	135.537	135.430	135.448	1346	0	8
2018.01.02	02:40:00	135.448	135.474	135.428	135.465	1401	0	8
2018.01.02	03:00:00	135.465	135.509	135.433	135.469	2046	0	8
2018.01.02	03:20:00	135.469	135.480	135.427	135.455	1626	0	8
2018.01.02	03:40:00	135.454	135.475	135.414	135.446	1593	0	8
2018.01.02	04:00:00	135.446	135.462	135.389	135.398	2965	0	8
2018.01.02	04:20:00	135.398	135.438	135.383	135.390	1660	0	8
2018.01.02	04:40:00	135.389	135.395	135.342	135.368	1539	0	8
2018.01.02	05:00:00	135.368	135.441	135.358	135.434	1826	0	8
2018.01.02	05:20:00	135.434	135.470	135.413	135.444	2485	0	8
2018.01.02	05:40:00	135.445	135.458	135.377	135.378	1175	0	8
2018.01.02	06:00:00	135.378	135.457	135.372	135.457	2209	0	8
2018.01.02	06:20:00	135.458	135.483	135.419	135.425	1797	0	8
2018.01.02	06:40:00	135.425	135.464	135.424	135.448	1842	0	9
2018.01.02	07:00:00	135.448	135.486	135.436	135.467	2834	0	10
2018.01.02	07:20:00	135.468	135.496	135.456	135.486	3765	0	8
2018.01.02	07:40:00	135.486	135.512	135.468	135.503	1794	0	8
2018.01.02	08:00:00	135.503	135.529	135.471	135.505	2941	0	8
2018.01.02	08:20:00	135.506	135.515	135.471	135.508	1997	0	8
2018.01.02	08:40:00	135.508	135.552	135.480	135.523	1569	0	8
2018.01.02	09:00:00	135.524	135.557	135.426	135.474	3042	0	8
2018.01.02	09:20:00	135.474	135.532	135.453	135.492	2897	0	8
2018.01.02	09:40:00	135.492	135.629	135.487	135.567	3437	0	8
2018.01.02	10:00:00	135.567	135.593	135.468	135.549	3579	0	8
2018.01.02	10:20:00	135.547	135.565	135.366	135.391	4178	0	8
2018.01.02	10:40:00	135.391	135.418	135.345	135.373	2483	0	8
2018.01.02	11:00:00	135.374	135.450	135.331	135.433	2644	0	8
2018.01.02	11:20:00	135.435	135.443	135.378	135.392	3076	0	8
2018.01.02	11:40:00	135.392	135.495	135.377	135.495	3283	0	8
2018.01.02	12:00:00	135.495	135.554	135.417	135.428	2965	0	8
2018.01.02	12:20:00	135.428	135.514	135.388	135.419	2986	0	8
2018.01.02	12:40:00	135.419	135.491	135.322	135.338	3413	0	8
