<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:40:00	1.69473	1.69670	1.69461	1.69603	85	0	112
2018.01.02	01:00:00	1.69603	1.69741	1.69542	1.69699	1931	0	51
2018.01.02	01:20:00	1.69681	1.69751	1.69596	1.69619	2013	0	41
2018.01.02	01:40:00	1.69621	1.69667	1.69599	1.69623	1353	0	29
2018.01.02	02:00:00	1.69624	1.69644	1.69579	1.69614	499	0	25
2018.01.02	02:20:00	1.69614	1.69632	1.69553	1.69605	627	0	25
2018.01.02	02:40:00	1.69605	1.69605	1.69486	1.69505	600	0	26
2018.01.02	03:00:00	1.69504	1.69606	1.69503	1.69591	915	0	28
2018.01.02	03:20:00	1.69591	1.69596	1.69451	1.69451	773	0	25
2018.01.02	03:40:00	1.69456	1.69516	1.69449	1.69481	1041	0	20
2018.01.02	04:00:00	1.69482	1.69507	1.69443	1.69454	625	0	28
2018.01.02	04:20:00	1.69452	1.69544	1.69444	1.69536	838	0	29
2018.01.02	04:40:00	1.69536	1.69546	1.69496	1.69506	678	0	24
2018.01.02	05:00:00	1.69506	1.69545	1.69453	1.69476	844	0	30
2018.01.02	05:20:00	1.69480	1.69497	1.69427	1.69446	628	0	27
2018.01.02	05:40:00	1.69449	1.69486	1.69412	1.69418	566	0	27
2018.01.02	06:00:00	1.69419	1.69428	1.69383	1.69426	430	0	19
2018.01.02	06:20:00	1.69428	1.69459	1.69396	1.69411	576	0	28
2018.01.02	06:40:00	1.69411	1.69423	1.69370	1.69381	273	0	29
2018.01.02	07:00:00	1.69381	1.69383	1.69345	1.69371	443	0	27
2018.01.02	07:20:00	1.69370	1.69405	1.69326	1.69394	402	0	28
2018.01.02	07:40:00	1.69394	1.69456	1.69367	1.69447	789	0	14
2018.01.02	08:00:00	1.69445	1.69483	1.69397	1.69458	958	0	22
2018.01.02	08:20:00	1.69459	1.69487	1.69407	1.69429	766	0	24
2018.01.02	08:40:00	1.69430	1.69461	1.69358	1.69373	986	0	23
2018.01.02	09:00:00	1.69373	1.69515	1.69362	1.69430	1589	0	21
2018.01.02	09:20:00	1.69430	1.69505	1.69371	1.69424	1334	0	20
2018.01.02	09:40:00	1.69425	1.69557	1.69403	1.69513	1903	0	16
2018.01.02	10:00:00	1.69516	1.69720	1.69498	1.69720	2712	0	15
2018.01.02	10:20:00	1.69720	1.69814	1.69664	1.69722	2430	0	14
2018.01.02	10:40:00	1.69722	1.69772	1.69651	1.69759	1790	0	14
2018.01.02	11:00:00	1.69759	1.69811	1.69723	1.69791	1827	0	19
2018.01.02	11:20:00	1.69789	1.69793	1.69582	1.69750	1711	0	14
2018.01.02	11:40:00	1.69751	1.69903	1.69674	1.69756	2665	0	14
2018.01.02	12:00:00	1.69754	1.69896	1.69617	1.69801	2454	0	14
2018.01.02	12:20:00	1.69798	1.69894	1.69743	1.69839	1846	0	14
2018.01.02	12:40:00	1.69839	1.69981	1.69715	1.69960	2342	0	15
2018.01.02	13:00:00	1.69960	1.70028	1.69920	1.69956	1853	0	21
2018.01.02	13:20:00	1.69955	1.70016	1.69776	1.69856	2059	0	14
2018.01.02	13:40:00	1.69856	1.70044	1.69799	1.70041	1940	0	14
2018.01.02	14:00:00	1.70035	1.70094	1.69965	1.69992	2405	0	14
2018.01.02	14:20:00	1.69994	1.70049	1.69867	1.70018	1843	0	20
2018.01.02	14:40:00	1.70019	1.70077	1.69973	1.70055	1715	0	14
2018.01.02	15:00:00	1.70054	1.70127	1.69978	1.69979	1827	0	14
2018.01.02	15:20:00	1.69985	1.70028	1.69886	1.69994	2463	0	14
2018.01.02	15:40:00	1.69996	1.70054	1.69907	1.69911	1598	0	14
2018.01.02	16:00:00	1.69910	1.69969	1.69851	1.69902	2006	0	14
2018.01.02	16:20:00	1.69902	1.69982	1.69809	1.69825	2398	0	14
2018.01.02	16:40:00	1.69821	1.69918	1.69700	1.69878	3133	0	14
2018.01.02	17:00:00	1.69878	1.69904	1.69706	1.69897	3453	0	14
2018.01.02	17:20:00	1.69896	1.69975	1.69701	1.69969	3534	0	16
2018.01.02	17:40:00	1.69969	1.70046	1.69755	1.69756	3912	0	14
2018.01.02	18:00:00	1.69756	1.69896	1.69721	1.69864	4049	0	14
2018.01.02	18:20:00	1.69865	1.69923	1.69827	1.69843	2530	0	15
2018.01.02	18:40:00	1.69843	1.70069	1.69843	1.70026	2909	0	14
2018.01.02	19:00:00	1.70026	1.70035	1.69956	1.69973	2024	0	15
2018.01.02	19:20:00	1.69973	1.70041	1.69903	1.69907	1809	0	17
2018.01.02	19:40:00	1.69907	1.69948	1.69853	1.69891	2043	0	15
2018.01.02	20:00:00	1.69891	1.69941	1.69864	1.69892	1838	0	17
2018.01.02	20:20:00	1.69892	1.69946	1.69882	1.69936	910	0	19
2018.01.02	20:40:00	1.69936	1.69971	1.69915	1.69951	1178	0	18
2018.01.02	21:00:00	1.69951	1.70038	1.69951	1.70021	1181	0	14
2018.01.02	21:20:00	1.70020	1.70049	1.69977	1.70006	755	0	17
2018.01.02	21:40:00	1.70006	1.70057	1.69979	1.70054	1212	0	21
2018.01.02	22:00:00	1.70052	1.70109	1.70023	1.70088	1076	0	19
2018.01.02	22:20:00	1.70088	1.70103	1.70056	1.70079	850	0	22
2018.01.02	22:40:00	1.70079	1.70103	1.70021	1.70021	1424	0	18
2018.01.02	23:00:00	1.70021	1.70073	1.69996	1.70052	872	0	15
2018.01.02	23:20:00	1.70053	1.70055	1.69983	1.70018	930	0	26
2018.01.02	23:40:00	1.70018	1.70099	1.69984	1.69994	1485	0	19
2018.01.03	00:00:00	1.69994	1.70116	1.69968	1.70086	397	0	42
2018.01.03	00:20:00	1.70086	1.70096	1.70048	1.70068	305	0	43
