<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:40:00	1.31603	1.31603	1.31603	1.31603	5	0	271
2018.01.02	01:00:00	1.31499	1.31680	1.31417	1.31636	2385	0	38
2018.01.02	01:20:00	1.31636	1.31722	1.31574	1.31637	2576	0	16
2018.01.02	01:40:00	1.31637	1.31703	1.31632	1.31683	1798	0	31
2018.01.02	02:00:00	1.31683	1.31715	1.31662	1.31685	549	0	23
2018.01.02	02:20:00	1.31685	1.31735	1.31658	1.31730	1377	0	10
2018.01.02	02:40:00	1.31731	1.31740	1.31607	1.31628	1769	0	9
2018.01.02	03:00:00	1.31629	1.31705	1.31615	1.31705	2779	0	10
2018.01.02	03:20:00	1.31704	1.31714	1.31653	1.31663	1613	0	8
2018.01.02	03:40:00	1.31664	1.31684	1.31631	1.31651	1710	0	8
2018.01.02	04:00:00	1.31650	1.31668	1.31604	1.31614	1385	0	12
2018.01.02	04:20:00	1.31615	1.31682	1.31611	1.31659	1684	0	11
2018.01.02	04:40:00	1.31658	1.31666	1.31597	1.31604	1336	0	11
2018.01.02	05:00:00	1.31603	1.31631	1.31592	1.31625	1921	0	11
2018.01.02	05:20:00	1.31633	1.31647	1.31564	1.31616	1409	0	11
2018.01.02	05:40:00	1.31615	1.31630	1.31564	1.31584	1576	0	10
2018.01.02	06:00:00	1.31585	1.31586	1.31544	1.31578	1248	0	8
2018.01.02	06:20:00	1.31577	1.31594	1.31549	1.31579	1268	0	9
2018.01.02	06:40:00	1.31580	1.31583	1.31562	1.31582	666	0	9
2018.01.02	07:00:00	1.31583	1.31636	1.31581	1.31636	1036	0	9
2018.01.02	07:20:00	1.31635	1.31635	1.31605	1.31621	786	0	10
2018.01.02	07:40:00	1.31620	1.31663	1.31606	1.31655	1414	0	8
2018.01.02	08:00:00	1.31654	1.31693	1.31620	1.31658	1997	0	8
2018.01.02	08:20:00	1.31658	1.31661	1.31598	1.31617	1219	0	12
2018.01.02	08:40:00	1.31618	1.31677	1.31608	1.31618	1910	0	9
2018.01.02	09:00:00	1.31617	1.31728	1.31611	1.31667	3106	0	8
2018.01.02	09:20:00	1.31666	1.31682	1.31564	1.31577	3123	0	8
2018.01.02	09:40:00	1.31576	1.31728	1.31549	1.31716	3087	0	8
2018.01.02	10:00:00	1.31712	1.31818	1.31706	1.31817	3986	0	8
2018.01.02	10:20:00	1.31817	1.31892	1.31706	1.31841	4677	0	8
2018.01.02	10:40:00	1.31843	1.31886	1.31791	1.31862	3484	0	8
2018.01.02	11:00:00	1.31861	1.31927	1.31807	1.31897	3134	0	10
2018.01.02	11:20:00	1.31897	1.31898	1.31699	1.31769	3067	0	8
2018.01.02	11:40:00	1.31770	1.31829	1.31561	1.31604	4202	0	8
2018.01.02	12:00:00	1.31598	1.31635	1.31483	1.31568	3998	0	8
2018.01.02	12:20:00	1.31567	1.31594	1.31448	1.31473	3285	0	8
2018.01.02	12:40:00	1.31470	1.31687	1.31415	1.31672	3609	0	9
2018.01.02	13:00:00	1.31673	1.31723	1.31572	1.31668	3075	0	8
2018.01.02	13:20:00	1.31669	1.31678	1.31488	1.31548	3092	0	8
2018.01.02	13:40:00	1.31549	1.31655	1.31512	1.31624	2751	0	8
2018.01.02	14:00:00	1.31626	1.31738	1.31623	1.31713	3448	0	8
2018.01.02	14:20:00	1.31713	1.31742	1.31681	1.31741	2670	0	8
2018.01.02	14:40:00	1.31742	1.31752	1.31687	1.31697	2945	0	8
2018.01.02	15:00:00	1.31698	1.31750	1.31631	1.31747	2976	0	9
2018.01.02	15:20:00	1.31749	1.31791	1.31701	1.31750	3394	0	8
2018.01.02	15:40:00	1.31750	1.31785	1.31704	1.31737	2784	0	8
2018.01.02	16:00:00	1.31736	1.31776	1.31663	1.31695	3824	0	8
2018.01.02	16:20:00	1.31696	1.31793	1.31675	1.31778	3728	0	9
2018.01.02	16:40:00	1.31777	1.31828	1.31756	1.31795	4532	0	8
2018.01.02	17:00:00	1.31796	1.31837	1.31699	1.31820	4708	0	8
2018.01.02	17:20:00	1.31821	1.31824	1.31694	1.31775	4444	0	8
2018.01.02	17:40:00	1.31774	1.32047	1.31774	1.32023	4905	0	8
2018.01.02	18:00:00	1.32024	1.32040	1.31907	1.31933	4568	0	8
2018.01.02	18:20:00	1.31932	1.32055	1.31912	1.31981	4008	0	8
2018.01.02	18:40:00	1.31982	1.32133	1.31980	1.32118	4054	0	8
2018.01.02	19:00:00	1.32116	1.32187	1.32093	1.32161	3271	0	9
2018.01.02	19:20:00	1.32162	1.32189	1.32102	1.32130	2833	0	8
2018.01.02	19:40:00	1.32131	1.32158	1.32069	1.32096	3001	0	8
2018.01.02	20:00:00	1.32095	1.32122	1.32057	1.32084	2450	0	8
2018.01.02	20:20:00	1.32083	1.32127	1.32063	1.32094	1519	0	8
2018.01.02	20:40:00	1.32095	1.32152	1.32091	1.32150	1841	0	8
2018.01.02	21:00:00	1.32154	1.32191	1.32135	1.32180	1854	0	8
2018.01.02	21:20:00	1.32180	1.32206	1.32129	1.32164	1491	0	8
2018.01.02	21:40:00	1.32165	1.32170	1.32124	1.32144	1834	0	11
2018.01.02	22:00:00	1.32144	1.32185	1.32118	1.32167	2264	0	10
2018.01.02	22:20:00	1.32168	1.32197	1.32148	1.32192	1489	0	11
2018.01.02	22:40:00	1.32191	1.32211	1.32095	1.32110	2354	0	8
2018.01.02	23:00:00	1.32109	1.32155	1.32088	1.32119	1795	0	9
2018.01.02	23:20:00	1.32120	1.32123	1.32085	1.32090	1042	0	10
2018.01.02	23:40:00	1.32089	1.32103	1.31987	1.31987	1760	0	14
2018.01.03	00:00:00	1.31993	1.32104	1.31942	1.32071	542	0	41
2018.01.03	00:20:00	1.32071	1.32139	1.32009	1.32021	727	0	60
2018.01.03	00:40:00	1.32016	1.32135	1.31970	1.32050	2809	0	77
2018.01.03	01:00:00	1.32048	1.32115	1.32019	1.32054	2810	0	28
2018.01.03	01:20:00	1.32049	1.32085	1.32019	1.32056	743	0	22
2018.01.03	01:40:00	1.32057	1.32084	1.32035	1.32056	319	0	27
2018.01.03	02:00:00	1.32055	1.32132	1.32055	1.32130	794	0	21
2018.01.03	02:20:00	1.32131	1.32157	1.32116	1.32120	1571	0	11
2018.01.03	02:40:00	1.32121	1.32164	1.32096	1.32161	1494	0	11
2018.01.03	03:00:00	1.32162	1.32186	1.32140	1.32163	1624	0	11
2018.01.03	03:20:00	1.32161	1.32172	1.32137	1.32153	1421	0	9
2018.01.03	03:40:00	1.32152	1.32239	1.32118	1.32217	1903	0	9
2018.01.03	04:00:00	1.32216	1.32233	1.32166	1.32192	1456	0	11
2018.01.03	04:20:00	1.32192	1.32208	1.32147	1.32204	1689	0	11
2018.01.03	04:40:00	1.32205	1.32218	1.32147	1.32172	1694	0	8
2018.01.03	05:00:00	1.32172	1.32208	1.32142	1.32191	1180	0	11
2018.01.03	05:20:00	1.32190	1.32206	1.32181	1.32184	758	0	8
2018.01.03	05:40:00	1.32183	1.32184	1.32160	1.32173	833	0	9
2018.01.03	06:00:00	1.32174	1.32193	1.32168	1.32169	891	0	9
2018.01.03	06:20:00	1.32170	1.32198	1.32164	1.32182	1136	0	8
2018.01.03	06:40:00	1.32181	1.32217	1.32169	1.32175	1122	0	8
2018.01.03	07:00:00	1.32176	1.32188	1.32166	1.32184	919	0	8
2018.01.03	07:20:00	1.32182	1.32215	1.32157	1.32196	1031	0	8
2018.01.03	07:40:00	1.32197	1.32211	1.32153	1.32207	1188	0	8
2018.01.03	08:00:00	1.32206	1.32237	1.32149	1.32222	1650	0	9
2018.01.03	08:20:00	1.32221	1.32261	1.32208	1.32223	2086	0	11
2018.01.03	08:40:00	1.32222	1.32271	1.32193	1.32201	2453	0	9
2018.01.03	09:00:00	1.32205	1.32269	1.32180	1.32202	3560	0	8
2018.01.03	09:20:00	1.32201	1.32244	1.32188	1.32238	2601	0	8
2018.01.03	09:40:00	1.32238	1.32263	1.32178	1.32184	2618	0	8
2018.01.03	10:00:00	1.32179	1.32314	1.32155	1.32160	3959	0	8
2018.01.03	10:20:00	1.32161	1.32231	1.32146	1.32174	2976	0	9
2018.01.03	10:40:00	1.32175	1.32243	1.32160	1.32191	2543	0	8
2018.01.03	11:00:00	1.32190	1.32282	1.32161	1.32251	2601	0	8
2018.01.03	11:20:00	1.32252	1.32252	1.32133	1.32190	2776	0	8
2018.01.03	11:40:00	1.32191	1.32211	1.32091	1.32125	2791	0	8
2018.01.03	12:00:00	1.32126	1.32221	1.32100	1.32120	2772	0	8
2018.01.03	12:20:00	1.32119	1.32254	1.32094	1.32234	3991	0	8
2018.01.03	12:40:00	1.32234	1.32374	1.32224	1.32358	3298	0	8
2018.01.03	13:00:00	1.32358	1.32385	1.32305	1.32360	3885	0	8
2018.01.03	13:20:00	1.32361	1.32404	1.32290	1.32374	3170	0	8
2018.01.03	13:40:00	1.32375	1.32431	1.32364	1.32387	2433	0	8
2018.01.03	14:00:00	1.32385	1.32387	1.32323	1.32373	2727	0	8
2018.01.03	14:20:00	1.32375	1.32430	1.32357	1.32395	2449	0	8
2018.01.03	14:40:00	1.32395	1.32396	1.32319	1.32332	2870	0	8
2018.01.03	15:00:00	1.32331	1.32403	1.32306	1.32345	3154	0	8
2018.01.03	15:20:00	1.32332	1.32407	1.32317	1.32345	2818	0	8
2018.01.03	15:40:00	1.32344	1.32460	1.32344	1.32385	2982	0	8
2018.01.03	16:00:00	1.32386	1.32400	1.32311	1.32318	3300	0	8
2018.01.03	16:20:00	1.32319	1.32361	1.32235	1.32340	3506	0	8
2018.01.03	16:40:00	1.32339	1.32370	1.32224	1.32285	4579	0	8
2018.01.03	17:00:00	1.32267	1.32318	1.32161	1.32302	5390	0	8
2018.01.03	17:20:00	1.32303	1.32311	1.32180	1.32232	4660	0	8
2018.01.03	17:40:00	1.32233	1.32247	1.32011	1.32012	4395	0	8
2018.01.03	18:00:00	1.32012	1.32055	1.31947	1.32054	4311	0	8
2018.01.03	18:20:00	1.32055	1.32102	1.32025	1.32057	3039	0	8
2018.01.03	18:40:00	1.32058	1.32073	1.31938	1.31983	3249	0	8
2018.01.03	19:00:00	1.31983	1.32048	1.31963	1.32025	2448	0	8
2018.01.03	19:20:00	1.32025	1.32044	1.31992	1.32033	1836	0	8
2018.01.03	19:40:00	1.32032	1.32090	1.31988	1.32084	2144	0	8
2018.01.03	20:00:00	1.32085	1.32085	1.32018	1.32058	1935	0	8
2018.01.03	20:20:00	1.32058	1.32063	1.31998	1.32028	1489	0	8
2018.01.03	20:40:00	1.32028	1.32042	1.31955	1.31993	1844	0	9
2018.01.03	21:00:00	1.31986	1.32156	1.31980	1.32121	4431	0	8
2018.01.03	21:20:00	1.32122	1.32142	1.32077	1.32081	2956	0	8
2018.01.03	21:40:00	1.32081	1.32111	1.32021	1.32047	2881	0	8
2018.01.03	22:00:00	1.32051	1.32066	1.32018	1.32032	2169	0	11
2018.01.03	22:20:00	1.32032	1.32042	1.31999	1.32027	2292	0	10
2018.01.03	22:40:00	1.32028	1.32040	1.31975	1.31978	2660	0	8
2018.01.03	23:00:00	1.31979	1.32041	1.31963	1.32018	1473	0	12
2018.01.03	23:20:00	1.32019	1.32065	1.32016	1.32059	1180	0	12
2018.01.03	23:40:00	1.32058	1.32079	1.31969	1.31970	1721	0	11
2018.01.04	00:00:00	1.31970	1.32045	1.31952	1.32017	371	0	48
2018.01.04	00:20:00	1.32018	1.32049	1.31972	1.31997	669	0	43
2018.01.04	00:40:00	1.31998	1.32044	1.31972	1.32004	863	0	34
2018.01.04	01:00:00	1.32005	1.32048	1.31982	1.32027	665	0	31
2018.01.04	01:20:00	1.32027	1.32033	1.31984	1.31996	643	0	19
2018.01.04	01:40:00	1.31996	1.32030	1.31989	1.32012	977	0	16
2018.01.04	02:00:00	1.32012	1.32056	1.32000	1.32047	1728	0	8
2018.01.04	02:20:00	1.32046	1.32053	1.32015	1.32023	1557	0	9
2018.01.04	02:40:00	1.32024	1.32060	1.32017	1.32041	1214	0	9
2018.01.04	03:00:00	1.32042	1.32102	1.32027	1.32088	1279	0	12
2018.01.04	03:20:00	1.32092	1.32129	1.32068	1.32127	1843	0	8
2018.01.04	03:40:00	1.32127	1.32157	1.32107	1.32129	1885	0	8
2018.01.04	04:00:00	1.32128	1.32151	1.32104	1.32132	1602	0	9
2018.01.04	04:20:00	1.32131	1.32178	1.32122	1.32138	1978	0	8
2018.01.04	04:40:00	1.32135	1.32161	1.32128	1.32154	1480	0	11
2018.01.04	05:00:00	1.32153	1.32187	1.32148	1.32185	1305	0	9
2018.01.04	05:20:00	1.32185	1.32185	1.32139	1.32171	1241	0	12
2018.01.04	05:40:00	1.32172	1.32189	1.32163	1.32188	1178	0	11
2018.01.04	06:00:00	1.32188	1.32193	1.32156	1.32182	1222	0	11
2018.01.04	06:20:00	1.32183	1.32197	1.32160	1.32169	1517	0	10
2018.01.04	06:40:00	1.32170	1.32196	1.32165	1.32172	1046	0	8
2018.01.04	07:00:00	1.32174	1.32187	1.32122	1.32154	1201	0	8
2018.01.04	07:20:00	1.32155	1.32166	1.32110	1.32116	1217	0	11
2018.01.04	07:40:00	1.32118	1.32170	1.32118	1.32148	1206	0	8
2018.01.04	08:00:00	1.32140	1.32174	1.32122	1.32147	2589	0	8
2018.01.04	08:20:00	1.32146	1.32156	1.32106	1.32113	2348	0	9
2018.01.04	08:40:00	1.32114	1.32159	1.32046	1.32051	1685	0	11
2018.01.04	09:00:00	1.32045	1.32115	1.32036	1.32113	2558	0	10
2018.01.04	09:20:00	1.32112	1.32126	1.32084	1.32100	2536	0	9
2018.01.04	09:40:00	1.32099	1.32171	1.32062	1.32128	2590	0	9
2018.01.04	10:00:00	1.32130	1.32174	1.32067	1.32110	3329	0	8
2018.01.04	10:20:00	1.32109	1.32207	1.32104	1.32170	3143	0	8
2018.01.04	10:40:00	1.32169	1.32281	1.32150	1.32269	3276	0	9
2018.01.04	11:00:00	1.32264	1.32336	1.32223	1.32248	2914	0	10
2018.01.04	11:20:00	1.32249	1.32326	1.32213	1.32250	2970	0	8
2018.01.04	11:40:00	1.32244	1.32303	1.32204	1.32226	3490	0	8
2018.01.04	12:00:00	1.32222	1.32236	1.32159	1.32231	3033	0	8
2018.01.04	12:20:00	1.32232	1.32240	1.32142	1.32222	3128	0	9
2018.01.04	12:40:00	1.32221	1.32249	1.32123	1.32133	2614	0	9
2018.01.04	13:00:00	1.32132	1.32156	1.32090	1.32116	2831	0	8
2018.01.04	13:20:00	1.32115	1.32178	1.32109	1.32144	2849	0	9
2018.01.04	13:40:00	1.32145	1.32217	1.32101	1.32208	2808	0	8
2018.01.04	14:00:00	1.32209	1.32224	1.32164	1.32214	2554	0	8
2018.01.04	14:20:00	1.32212	1.32230	1.32102	1.32141	2823	0	8
2018.01.04	14:40:00	1.32142	1.32154	1.32015	1.32035	2719	0	8
2018.01.04	15:00:00	1.32037	1.32064	1.31963	1.32007	3776	0	8
2018.01.04	15:20:00	1.32010	1.32102	1.31968	1.32067	4764	0	8
2018.01.04	15:40:00	1.32068	1.32093	1.31982	1.32011	3821	0	8
