<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	00:00:00	1.32413	1.32508	1.32409	1.32446	10013	0	25
2020.01.02	01:00:00	1.32456	1.32607	1.32452	1.32494	1282	0	4
2020.01.02	02:00:00	1.32497	1.32616	1.32468	1.32559	1725	0	4
2020.01.02	03:00:00	1.32558	1.32657	1.32530	1.32553	2111	0	4
2020.01.02	04:00:00	1.32552	1.32558	1.32434	1.32481	1488	0	8
2020.01.02	05:00:00	1.32481	1.32491	1.32025	1.32093	2510	0	6
2020.01.02	06:00:00	1.32094	1.32171	1.32030	1.32070	2434	0	7
2020.01.02	07:00:00	1.32069	1.32134	1.32015	1.32130	2662	0	9
2020.01.02	08:00:00	1.32132	1.32238	1.32062	1.32215	2135	0	7
2020.01.02	09:00:00	1.32228	1.32291	1.32092	1.32193	4122	0	4
2020.01.02	10:00:00	1.32195	1.32302	1.32087	1.32213	5754	0	4
2020.01.02	11:00:00	1.32212	1.32271	1.32095	1.32138	3865	0	5
2020.01.02	12:00:00	1.32138	1.32144	1.32048	1.32111	4056	0	6
2020.01.02	13:00:00	1.32109	1.32113	1.31887	1.31994	4816	0	5
2020.01.02	14:00:00	1.31987	1.32124	1.31904	1.31967	4550	0	5
2020.01.02	15:00:00	1.31966	1.31968	1.31711	1.31759	4940	0	4
2020.01.02	16:00:00	1.31759	1.31773	1.31350	1.31470	6131	0	4
2020.01.02	17:00:00	1.31471	1.31942	1.31452	1.31889	7538	0	4
2020.01.02	18:00:00	1.31888	1.31890	1.31233	1.31267	6803	0	4
2020.01.02	19:00:00	1.31267	1.31343	1.31151	1.31339	4961	0	6
2020.01.02	20:00:00	1.31340	1.31434	1.31248	1.31394	4493	0	6
2020.01.02	21:00:00	1.31393	1.31402	1.31277	1.31287	3627	0	5
2020.01.02	22:00:00	1.31286	1.31453	1.31284	1.31383	3117	0	7
2020.01.02	23:00:00	1.31382	1.31417	1.31347	1.31365	1259	0	7
2020.01.03	00:00:00	1.31374	1.31467	1.31309	1.31337	290	0	59
2020.01.03	01:00:00	1.31394	1.31477	1.31307	1.31465	1522	0	5
2020.01.03	02:00:00	1.31465	1.31568	1.31395	1.31550	1812	0	4
2020.01.03	03:00:00	1.31550	1.31599	1.31343	1.31374	2325	0	7
2020.01.03	04:00:00	1.31375	1.31432	1.31226	1.31272	3380	0	8
2020.01.03	05:00:00	1.31272	1.31373	1.31263	1.31355	3092	0	8
2020.01.03	06:00:00	1.31355	1.31373	1.31242	1.31256	1860	0	9
2020.01.03	07:00:00	1.31256	1.31286	1.31155	1.31207	1989	0	9
2020.01.03	08:00:00	1.31207	1.31237	1.31043	1.31235	1862	0	7
2020.01.03	09:00:00	1.31234	1.31234	1.30823	1.30910	5846	0	5
2020.01.03	10:00:00	1.30910	1.31175	1.30863	1.30971	6222	0	4
2020.01.03	11:00:00	1.30970	1.31001	1.30666	1.30674	6904	0	5
2020.01.03	12:00:00	1.30678	1.30879	1.30678	1.30780	5116	0	6
2020.01.03	13:00:00	1.30780	1.30784	1.30532	1.30586	4263	0	5
2020.01.03	14:00:00	1.30586	1.30819	1.30537	1.30800	4660	0	4
2020.01.03	15:00:00	1.30800	1.31094	1.30718	1.30720	4495	0	4
2020.01.03	16:00:00	1.30723	1.30894	1.30674	1.30688	5033	0	4
2020.01.03	17:00:00	1.30791	1.30939	1.30690	1.30710	6254	0	4
2020.01.03	18:00:00	1.30709	1.30988	1.30690	1.30894	5016	0	5
2020.01.03	19:00:00	1.30894	1.30936	1.30800	1.30878	3766	0	5
2020.01.03	20:00:00	1.30876	1.30897	1.30726	1.30829	4539	0	6
2020.01.03	21:00:00	1.30829	1.30843	1.30743	1.30782	4641	0	7
2020.01.03	22:00:00	1.30786	1.30786	1.30715	1.30730	1527	0	9
2020.01.03	23:00:00	1.30727	1.30787	1.30705	1.30766	921	0	10
2020.01.06	00:00:00	1.30886	1.30887	1.30642	1.30669	422	0	34
2020.01.06	01:00:00	1.30669	1.30845	1.30630	1.30768	2064	0	6
2020.01.06	02:00:00	1.30767	1.30878	1.30766	1.30795	2067	0	5
2020.01.06	03:00:00	1.30795	1.30813	1.30752	1.30790	1432	0	4
2020.01.06	04:00:00	1.30790	1.30881	1.30785	1.30870	728	0	8
2020.01.06	05:00:00	1.30870	1.30901	1.30805	1.30817	920	0	6
2020.01.06	06:00:00	1.30817	1.30866	1.30805	1.30838	796	0	7
2020.01.06	07:00:00	1.30838	1.30857	1.30795	1.30806	979	0	8
2020.01.06	08:00:00	1.30807	1.30831	1.30683	1.30824	2129	0	5
2020.01.06	09:00:00	1.30825	1.30942	1.30698	1.30730	5019	0	4
2020.01.06	10:00:00	1.30730	1.31079	1.30638	1.31055	6342	0	5
2020.01.06	11:00:00	1.31053	1.31482	1.31025	1.31430	7496	0	4
2020.01.06	12:00:00	1.31433	1.31730	1.31374	1.31518	6875	0	4
2020.01.06	13:00:00	1.31525	1.31739	1.31506	1.31563	4449	0	4
2020.01.06	14:00:00	1.31563	1.31566	1.31380	1.31383	3685	0	5
2020.01.06	15:00:00	1.31386	1.31484	1.31341	1.31402	3517	0	5
2020.01.06	16:00:00	1.31400	1.31608	1.31328	1.31363	4506	0	4
2020.01.06	17:00:00	1.31362	1.31620	1.31331	1.31584	5511	0	4
2020.01.06	18:00:00	1.31585	1.31694	1.31515	1.31621	3912	0	5
2020.01.06	19:00:00	1.31621	1.31741	1.31560	1.31588	3158	0	6
2020.01.06	20:00:00	1.31588	1.31674	1.31575	1.31577	2425	0	6
2020.01.06	21:00:00	1.31575	1.31638	1.31551	1.31627	2453	0	7
2020.01.06	22:00:00	1.31623	1.31671	1.31587	1.31657	1685	0	8
