<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:00:00	1.35005	1.35018	1.35005	1.35008	6	0	85
2018.01.02	00:40:00	1.35104	1.35217	1.35104	1.35139	113	0	24
2018.01.02	01:00:00	1.35136	1.35199	1.35057	1.35153	1532	0	6
2018.01.02	01:20:00	1.35153	1.35193	1.35118	1.35137	1575	0	6
2018.01.02	01:40:00	1.35137	1.35155	1.35092	1.35094	1979	0	6
2018.01.02	02:00:00	1.35096	1.35135	1.35073	1.35126	821	0	6
2018.01.02	02:20:00	1.35127	1.35196	1.35113	1.35185	1266	0	6
2018.01.02	02:40:00	1.35185	1.35186	1.35100	1.35124	1331	0	6
2018.01.02	03:00:00	1.35122	1.35218	1.35110	1.35215	2141	0	6
2018.01.02	03:20:00	1.35216	1.35216	1.35149	1.35155	1242	0	6
2018.01.02	03:40:00	1.35155	1.35189	1.35119	1.35130	1493	0	6
2018.01.02	04:00:00	1.35130	1.35145	1.35089	1.35090	1109	0	6
2018.01.02	04:20:00	1.35090	1.35155	1.35079	1.35151	1217	0	6
2018.01.02	04:40:00	1.35150	1.35160	1.35116	1.35122	1159	0	6
2018.01.02	05:00:00	1.35121	1.35203	1.35120	1.35203	1016	0	6
2018.01.02	05:20:00	1.35208	1.35227	1.35184	1.35202	1338	0	6
2018.01.02	05:40:00	1.35202	1.35229	1.35160	1.35169	1371	0	6
2018.01.02	06:00:00	1.35170	1.35187	1.35128	1.35182	972	0	6
2018.01.02	06:20:00	1.35183	1.35192	1.35120	1.35121	1194	0	6
2018.01.02	06:40:00	1.35122	1.35137	1.35119	1.35133	520	0	6
2018.01.02	07:00:00	1.35136	1.35163	1.35130	1.35162	1134	0	6
2018.01.02	07:20:00	1.35162	1.35168	1.35143	1.35167	652	0	6
2018.01.02	07:40:00	1.35168	1.35232	1.35163	1.35223	1266	0	6
2018.01.02	08:00:00	1.35223	1.35254	1.35186	1.35211	1550	0	6
2018.01.02	08:20:00	1.35212	1.35214	1.35173	1.35212	1109	0	6
2018.01.02	08:40:00	1.35213	1.35227	1.35181	1.35209	1614	0	6
2018.01.02	09:00:00	1.35208	1.35349	1.35202	1.35283	2777	0	6
2018.01.02	09:20:00	1.35285	1.35311	1.35226	1.35241	2510	0	6
2018.01.02	09:40:00	1.35242	1.35368	1.35225	1.35341	2603	0	6
2018.01.02	10:00:00	1.35338	1.35426	1.35323	1.35426	3289	0	6
2018.01.02	10:20:00	1.35426	1.35576	1.35412	1.35545	3720	0	6
2018.01.02	10:40:00	1.35544	1.35559	1.35438	1.35532	2468	0	6
2018.01.02	11:00:00	1.35532	1.35620	1.35506	1.35588	2453	0	6
2018.01.02	11:20:00	1.35589	1.35599	1.35434	1.35575	2364	0	6
2018.01.02	11:40:00	1.35576	1.35661	1.35418	1.35482	3431	0	6
2018.01.02	12:00:00	1.35482	1.35494	1.35396	1.35465	3160	0	6
2018.01.02	12:20:00	1.35465	1.35536	1.35427	1.35490	2592	0	6
2018.01.02	12:40:00	1.35489	1.35585	1.35465	1.35566	2647	0	6
2018.01.02	13:00:00	1.35567	1.35613	1.35511	1.35553	2431	0	6
2018.01.02	13:20:00	1.35553	1.35566	1.35393	1.35441	2425	0	6
2018.01.02	13:40:00	1.35440	1.35543	1.35411	1.35504	2276	0	6
2018.01.02	14:00:00	1.35504	1.35618	1.35495	1.35609	2986	0	6
2018.01.02	14:20:00	1.35610	1.35654	1.35563	1.35642	2116	0	6
2018.01.02	14:40:00	1.35642	1.35674	1.35592	1.35614	2109	0	6
2018.01.02	15:00:00	1.35615	1.35651	1.35569	1.35610	2346	0	6
2018.01.02	15:20:00	1.35615	1.35628	1.35529	1.35603	2650	0	6
2018.01.02	15:40:00	1.35603	1.35644	1.35558	1.35569	2147	0	6
2018.01.02	16:00:00	1.35568	1.35579	1.35495	1.35517	2669	0	6
2018.01.02	16:20:00	1.35519	1.35552	1.35482	1.35515	2559	0	6
2018.01.02	16:40:00	1.35514	1.35532	1.35446	1.35472	3333	0	6
2018.01.02	17:00:00	1.35473	1.35580	1.35420	1.35576	3499	0	6
2018.01.02	17:20:00	1.35576	1.35581	1.35459	1.35577	2747	0	6
2018.01.02	17:40:00	1.35576	1.35845	1.35562	1.35785	3594	0	6
2018.01.02	18:00:00	1.35784	1.35893	1.35734	1.35871	3337	0	6
2018.01.02	18:20:00	1.35871	1.35872	1.35762	1.35793	2629	0	6
2018.01.02	18:40:00	1.35792	1.35973	1.35792	1.35945	2800	0	6
2018.01.02	19:00:00	1.35944	1.35992	1.35926	1.35934	2354	0	6
2018.01.02	19:20:00	1.35934	1.35999	1.35897	1.35906	1705	0	6
2018.01.02	19:40:00	1.35907	1.35941	1.35812	1.35841	2001	0	6
2018.01.02	20:00:00	1.35839	1.35866	1.35814	1.35822	1883	0	6
2018.01.02	20:20:00	1.35823	1.35884	1.35822	1.35874	1092	0	6
2018.01.02	20:40:00	1.35876	1.35901	1.35848	1.35894	1285	0	6
2018.01.02	21:00:00	1.35894	1.35946	1.35894	1.35938	1207	0	6
