<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:00:00	0.70998	0.71037	0.70958	0.71023	106	0	31
2018.01.02	00:20:00	0.71023	0.71024	0.70947	0.70971	214	0	30
2018.01.02	00:40:00	0.70971	0.70988	0.70966	0.70971	364	0	36
2018.01.02	01:00:00	0.70973	0.70997	0.70777	0.70839	1148	0	16
2018.01.02	01:20:00	0.70840	0.70859	0.70802	0.70840	2078	0	16
2018.01.02	01:40:00	0.70841	0.70863	0.70829	0.70861	609	0	16
2018.01.02	02:00:00	0.70862	0.70919	0.70860	0.70910	355	0	18
2018.01.02	02:20:00	0.70910	0.71011	0.70910	0.71005	556	0	17
2018.01.02	02:40:00	0.71008	0.71039	0.70996	0.71021	627	0	16
2018.01.02	03:00:00	0.71020	0.71061	0.70981	0.71017	1181	0	16
2018.01.02	03:20:00	0.71014	0.71056	0.70988	0.71049	902	0	16
2018.01.02	03:40:00	0.71050	0.71073	0.71000	0.71016	1234	0	16
2018.01.02	04:00:00	0.71016	0.71032	0.71003	0.71019	811	0	16
2018.01.02	04:20:00	0.71018	0.71067	0.71015	0.71035	888	0	16
2018.01.02	04:40:00	0.71035	0.71061	0.71029	0.71050	516	0	16
2018.01.02	05:00:00	0.71050	0.71148	0.71049	0.71137	899	0	16
2018.01.02	05:20:00	0.71137	0.71146	0.71112	0.71126	817	0	16
2018.01.02	05:40:00	0.71126	0.71150	0.71114	0.71129	695	0	16
2018.01.02	06:00:00	0.71129	0.71140	0.71106	0.71137	705	0	16
2018.01.02	06:20:00	0.71137	0.71142	0.71102	0.71122	365	0	16
2018.01.02	06:40:00	0.71121	0.71158	0.71117	0.71132	388	0	16
2018.01.02	07:00:00	0.71131	0.71168	0.71116	0.71157	832	0	16
2018.01.02	07:20:00	0.71156	0.71194	0.71148	0.71171	562	0	16
2018.01.02	07:40:00	0.71171	0.71231	0.71170	0.71203	769	0	16
2018.01.02	08:00:00	0.71202	0.71249	0.71191	0.71241	934	0	16
2018.01.02	08:20:00	0.71239	0.71254	0.71210	0.71251	578	0	16
2018.01.02	08:40:00	0.71251	0.71252	0.71217	0.71229	711	0	16
2018.01.02	09:00:00	0.71228	0.71302	0.71213	0.71257	1006	0	16
2018.01.02	09:20:00	0.71256	0.71257	0.71171	0.71204	1202	0	16
2018.01.02	09:40:00	0.71202	0.71241	0.71196	0.71198	827	0	16
2018.01.02	10:00:00	0.71198	0.71226	0.71158	0.71203	1059	0	16
2018.01.02	10:20:00	0.71203	0.71252	0.71193	0.71249	1110	0	16
2018.01.02	10:40:00	0.71249	0.71267	0.71232	0.71243	822	0	16
2018.01.02	11:00:00	0.71245	0.71257	0.71217	0.71217	1066	0	16
2018.01.02	11:20:00	0.71218	0.71220	0.71188	0.71204	702	0	16
2018.01.02	11:40:00	0.71205	0.71223	0.71161	0.71174	902	0	16
2018.01.02	12:00:00	0.71172	0.71195	0.71147	0.71182	859	0	16
2018.01.02	12:20:00	0.71182	0.71232	0.71165	0.71224	860	0	16
2018.01.02	12:40:00	0.71223	0.71241	0.71192	0.71196	821	0	16
2018.01.02	13:00:00	0.71196	0.71197	0.71152	0.71160	607	0	16
2018.01.02	13:20:00	0.71160	0.71160	0.71106	0.71109	837	0	16
2018.01.02	13:40:00	0.71110	0.71122	0.71058	0.71059	1123	0	16
2018.01.02	14:00:00	0.71060	0.71122	0.70960	0.71118	937	0	16
2018.01.02	14:20:00	0.71117	0.71168	0.71116	0.71137	763	0	16
2018.01.02	14:40:00	0.71139	0.71215	0.71129	0.71150	1015	0	16
2018.01.02	15:00:00	0.71151	0.71191	0.71113	0.71118	1092	0	16
2018.01.02	15:20:00	0.71119	0.71130	0.71087	0.71099	1107	0	16
2018.01.02	15:40:00	0.71099	0.71104	0.71050	0.71080	1073	0	16
2018.01.02	16:00:00	0.71078	0.71153	0.71057	0.71127	1208	0	16
2018.01.02	16:20:00	0.71126	0.71160	0.71067	0.71068	1369	0	16
2018.01.02	16:40:00	0.71068	0.71080	0.71037	0.71040	1988	0	16
2018.01.02	17:00:00	0.71041	0.71082	0.71017	0.71051	1809	0	16
2018.01.02	17:20:00	0.71050	0.71053	0.70991	0.71050	1436	0	16
2018.01.02	17:40:00	0.71050	0.71104	0.71010	0.71092	1585	0	16
2018.01.02	18:00:00	0.71093	0.71124	0.71062	0.71079	1789	0	16
2018.01.02	18:20:00	0.71079	0.71089	0.71004	0.71029	1506	0	16
2018.01.02	18:40:00	0.71029	0.71063	0.71018	0.71045	1590	0	16
2018.01.02	19:00:00	0.71044	0.71068	0.71039	0.71063	1151	0	16
