<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	08:00:00	2678.65	2679.15	2678.65	2679.15	5	0	51
2018.01.02	08:20:00	2678.90	2679.63	2678.90	2679.20	18	0	50
2018.01.02	08:40:00	2679.38	2679.38	2678.95	2679.38	49	0	50
2018.01.02	09:00:00	2679.50	2679.88	2679.20	2679.63	76	0	50
2018.01.02	09:20:00	2679.45	2680.13	2679.13	2679.63	107	0	50
2018.01.02	09:40:00	2679.50	2679.88	2679.20	2679.63	77	0	50
2018.01.02	10:00:00	2679.50	2679.50	2677.88	2678.13	316	0	50
2018.01.02	10:20:00	2678.25	2678.88	2676.63	2678.25	433	0	50
2018.01.02	10:40:00	2678.38	2678.38	2677.00	2677.62	192	0	50
2018.01.02	11:00:00	2677.50	2677.62	2676.62	2676.87	159	0	50
2018.01.02	11:20:00	2676.75	2677.50	2676.00	2676.00	192	0	50
2018.01.02	11:40:00	2675.87	2676.37	2674.62	2675.37	259	0	50
2018.01.02	12:00:00	2675.12	2677.37	2675.12	2677.12	217	0	50
2018.01.02	12:20:00	2676.87	2678.37	2676.62	2677.37	206	0	50
2018.01.02	12:40:00	2677.12	2678.37	2677.12	2678.12	153	0	50
2018.01.02	13:00:00	2678.37	2679.62	2678.12	2678.62	150	0	50
2018.01.02	13:20:00	2678.50	2679.87	2678.37	2679.87	166	0	50
2018.01.02	13:40:00	2679.62	2681.12	2679.62	2680.87	185	0	50
2018.01.02	14:00:00	2681.12	2681.87	2680.62	2681.12	152	0	50
2018.01.02	14:20:00	2681.25	2683.75	2681.12	2683.50	103	0	50
2018.01.02	14:40:00	2683.37	2683.87	2682.45	2683.37	70	0	50
2018.01.02	15:00:00	2683.12	2683.12	2682.45	2682.87	42	0	50
2018.01.02	15:20:00	2683.12	2683.87	2683.11	2683.12	40	0	50
2018.01.02	15:40:00	2683.37	2685.12	2683.37	2683.87	86	0	50
