<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:00:00	1.25503	1.25503	1.25385	1.25409	173	0	56
2018.01.02	00:20:00	1.25407	1.25426	1.25400	1.25414	268	0	101
2018.01.02	00:40:00	1.25413	1.25515	1.25408	1.25515	596	0	33
2018.01.02	01:00:00	1.25514	1.25589	1.25501	1.25563	420	0	11
2018.01.02	01:20:00	1.25563	1.25583	1.25516	1.25529	941	0	8
2018.01.02	01:40:00	1.25530	1.25564	1.25528	1.25564	701	0	8
2018.01.02	02:00:00	1.25562	1.25566	1.25515	1.25526	556	0	8
2018.01.02	02:20:00	1.25524	1.25528	1.25464	1.25468	515	0	8
2018.01.02	02:40:00	1.25467	1.25467	1.25451	1.25454	361	0	8
2018.01.02	03:00:00	1.25453	1.25469	1.25429	1.25431	1300	0	8
2018.01.02	03:20:00	1.25431	1.25445	1.25382	1.25382	1240	0	8
2018.01.02	03:40:00	1.25382	1.25445	1.25372	1.25425	1455	0	8
2018.01.02	04:00:00	1.25426	1.25451	1.25421	1.25444	935	0	8
2018.01.02	04:20:00	1.25445	1.25467	1.25427	1.25448	747	0	8
2018.01.02	04:40:00	1.25448	1.25472	1.25436	1.25455	621	0	8
2018.01.02	05:00:00	1.25455	1.25456	1.25349	1.25354	1102	0	8
2018.01.02	05:20:00	1.25354	1.25368	1.25316	1.25335	597	0	8
2018.01.02	05:40:00	1.25335	1.25350	1.25330	1.25345	587	0	8
2018.01.02	06:00:00	1.25346	1.25355	1.25323	1.25340	457	0	8
2018.01.02	06:20:00	1.25340	1.25388	1.25331	1.25382	745	0	8
2018.01.02	06:40:00	1.25384	1.25384	1.25344	1.25348	562	0	8
2018.01.02	07:00:00	1.25348	1.25348	1.25314	1.25316	983	0	8
2018.01.02	07:20:00	1.25316	1.25341	1.25299	1.25329	648	0	8
2018.01.02	07:40:00	1.25331	1.25331	1.25296	1.25316	764	0	8
2018.01.02	08:00:00	1.25316	1.25333	1.25299	1.25331	685	0	8
2018.01.02	08:20:00	1.25331	1.25366	1.25307	1.25308	796	0	8
2018.01.02	08:40:00	1.25308	1.25338	1.25256	1.25269	946	0	8
2018.01.02	09:00:00	1.25268	1.25287	1.25200	1.25241	1596	0	8
2018.01.02	09:20:00	1.25239	1.25296	1.25204	1.25280	1774	0	8
2018.01.02	09:40:00	1.25280	1.25316	1.25245	1.25252	1513	0	8
2018.01.02	10:00:00	1.25253	1.25351	1.25236	1.25325	2007	0	8
2018.01.02	10:20:00	1.25326	1.25336	1.25198	1.25216	1802	0	8
2018.01.02	10:40:00	1.25217	1.25268	1.25201	1.25257	1337	0	8
2018.01.02	11:00:00	1.25256	1.25265	1.25196	1.25228	1570	0	8
2018.01.02	11:20:00	1.25227	1.25249	1.25202	1.25212	1050	0	8
2018.01.02	11:40:00	1.25212	1.25311	1.25211	1.25302	1850	0	8
2018.01.02	12:00:00	1.25302	1.25410	1.25273	1.25348	1352	0	8
2018.01.02	12:20:00	1.25351	1.25411	1.25307	1.25354	1360	0	8
2018.01.02	12:40:00	1.25356	1.25377	1.25282	1.25371	1302	0	8
2018.01.02	13:00:00	1.25371	1.25418	1.25362	1.25385	1360	0	8
2018.01.02	13:20:00	1.25385	1.25484	1.25382	1.25410	1396	0	8
2018.01.02	13:40:00	1.25411	1.25491	1.25361	1.25485	1262	0	8
2018.01.02	14:00:00	1.25481	1.25493	1.25355	1.25356	1804	0	8
2018.01.02	14:20:00	1.25360	1.25377	1.25299	1.25349	1502	0	8
2018.01.02	14:40:00	1.25349	1.25404	1.25340	1.25402	1091	0	8
2018.01.02	15:00:00	1.25399	1.25462	1.25346	1.25346	1945	0	8
2018.01.02	15:20:00	1.25345	1.25406	1.25309	1.25367	2094	0	8
2018.01.02	15:40:00	1.25368	1.25379	1.25304	1.25331	1775	0	8
2018.01.02	16:00:00	1.25332	1.25386	1.25306	1.25377	2088	0	8
2018.01.02	16:20:00	1.25377	1.25438	1.25303	1.25319	2280	0	8
2018.01.02	16:40:00	1.25320	1.25417	1.25236	1.25399	3059	0	8
2018.01.02	17:00:00	1.25397	1.25411	1.25271	1.25320	3287	0	8
2018.01.02	17:20:00	1.25321	1.25375	1.25237	1.25372	3391	0	8
2018.01.02	17:40:00	1.25372	1.25390	1.25025	1.25026	3320	0	8
2018.01.02	18:00:00	1.25026	1.25103	1.24999	1.25022	3857	0	8
2018.01.02	18:20:00	1.25023	1.25118	1.25018	1.25080	2522	0	8
2018.01.02	18:40:00	1.25081	1.25106	1.24998	1.25076	2598	0	8
2018.01.02	19:00:00	1.25076	1.25080	1.25014	1.25046	2426	0	8
2018.01.02	19:20:00	1.25048	1.25066	1.25020	1.25024	1608	0	8
2018.01.02	19:40:00	1.25023	1.25105	1.24997	1.25072	1578	0	8
2018.01.02	20:00:00	1.25073	1.25091	1.25060	1.25088	1679	0	8
2018.01.02	20:20:00	1.25086	1.25092	1.25064	1.25071	932	0	8
2018.01.02	20:40:00	1.25072	1.25094	1.25053	1.25065	1070	0	8
2018.01.02	21:00:00	1.25064	1.25091	1.25058	1.25072	1158	0	8
2018.01.02	21:20:00	1.25071	1.25085	1.25045	1.25060	979	0	8
2018.01.02	21:40:00	1.25060	1.25087	1.25046	1.25078	1876	0	8
2018.01.02	22:00:00	1.25076	1.25106	1.25062	1.25096	1319	0	8
2018.01.02	22:20:00	1.25097	1.25102	1.25067	1.25089	727	0	8
2018.01.02	22:40:00	1.25087	1.25087	1.25049	1.25056	1359	0	8
2018.01.02	23:00:00	1.25055	1.25084	1.25055	1.25074	1037	0	8
2018.01.02	23:20:00	1.25074	1.25094	1.25057	1.25086	688	0	8
2018.01.02	23:40:00	1.25086	1.25130	1.25086	1.25104	1308	0	8
