<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	00:00:00	0.97440	0.97444	0.97421	0.97434	31	0	166
2018.01.02	00:20:00	0.97434	0.97434	0.97395	0.97398	28	0	172
2018.01.02	00:40:00	0.97400	0.97404	0.97361	0.97366	751	0	117
2018.01.02	01:00:00	0.97343	0.97437	0.97295	0.97393	1269	0	14
2018.01.02	01:20:00	0.97393	0.97443	0.97355	0.97405	2031	0	11
2018.01.02	01:40:00	0.97406	0.97479	0.97402	0.97477	856	0	8
2018.01.02	02:00:00	0.97477	0.97479	0.97441	0.97454	424	0	8
2018.01.02	02:20:00	0.97453	0.97461	0.97424	0.97440	720	0	7
2018.01.02	02:40:00	0.97441	0.97452	0.97407	0.97408	725	0	6
2018.01.02	03:00:00	0.97409	0.97428	0.97357	0.97398	1635	0	6
2018.01.02	03:20:00	0.97397	0.97420	0.97388	0.97411	850	0	6
2018.01.02	03:40:00	0.97410	0.97427	0.97393	0.97421	772	0	6
2018.01.02	04:00:00	0.97422	0.97446	0.97417	0.97423	584	0	6
2018.01.02	04:20:00	0.97424	0.97439	0.97412	0.97413	866	0	6
2018.01.02	04:40:00	0.97413	0.97414	0.97386	0.97393	771	0	7
2018.01.02	05:00:00	0.97392	0.97398	0.97350	0.97356	928	0	6
2018.01.02	05:20:00	0.97357	0.97366	0.97307	0.97344	900	0	6
2018.01.02	05:40:00	0.97344	0.97348	0.97321	0.97346	856	0	6
2018.01.02	06:00:00	0.97346	0.97352	0.97328	0.97331	715	0	6
2018.01.02	06:20:00	0.97331	0.97376	0.97325	0.97376	536	0	6
2018.01.02	06:40:00	0.97374	0.97374	0.97362	0.97370	297	0	6
2018.01.02	07:00:00	0.97369	0.97400	0.97368	0.97387	281	0	6
2018.01.02	07:20:00	0.97388	0.97391	0.97370	0.97373	230	0	6
2018.01.02	07:40:00	0.97373	0.97382	0.97360	0.97360	406	0	6
2018.01.02	08:00:00	0.97360	0.97379	0.97351	0.97370	712	0	6
2018.01.02	08:20:00	0.97370	0.97372	0.97337	0.97337	486	0	6
2018.01.02	08:40:00	0.97338	0.97392	0.97329	0.97341	1023	0	6
2018.01.02	09:00:00	0.97340	0.97367	0.97308	0.97324	1755	0	6
2018.01.02	09:20:00	0.97324	0.97334	0.97278	0.97286	1746	0	6
2018.01.02	09:40:00	0.97285	0.97319	0.97251	0.97319	1398	0	6
2018.01.02	10:00:00	0.97316	0.97348	0.97294	0.97334	1477	0	6
2018.01.02	10:20:00	0.97334	0.97341	0.97227	0.97262	1720	0	6
2018.01.02	10:40:00	0.97263	0.97313	0.97259	0.97294	1186	0	6
2018.01.02	11:00:00	0.97293	0.97295	0.97252	0.97273	1125	0	6
2018.01.02	11:20:00	0.97272	0.97284	0.97186	0.97189	1074	0	6
2018.01.02	11:40:00	0.97188	0.97196	0.97134	0.97135	1660	0	6
2018.01.02	12:00:00	0.97133	0.97159	0.97098	0.97120	1821	0	6
2018.01.02	12:20:00	0.97121	0.97136	0.97018	0.97033	1559	0	6
2018.01.02	12:40:00	0.97035	0.97135	0.96993	0.97125	1696	0	6
2018.01.02	13:00:00	0.97124	0.97152	0.97067	0.97131	1462	0	6
2018.01.02	13:20:00	0.97132	0.97144	0.97093	0.97123	1219	0	6
2018.01.02	13:40:00	0.97123	0.97139	0.97111	0.97136	1262	0	6
2018.01.02	14:00:00	0.97135	0.97148	0.97116	0.97125	1023	0	6
2018.01.02	14:20:00	0.97125	0.97141	0.97100	0.97122	850	0	6
2018.01.02	14:40:00	0.97122	0.97138	0.97085	0.97109	1261	0	6
2018.01.02	15:00:00	0.97108	0.97150	0.97078	0.97146	1354	0	6
2018.01.02	15:20:00	0.97144	0.97197	0.97133	0.97159	1347	0	6
2018.01.02	15:40:00	0.97161	0.97172	0.97142	0.97168	999	0	6
2018.01.02	16:00:00	0.97167	0.97225	0.97152	0.97176	2042	0	6
2018.01.02	16:20:00	0.97176	0.97247	0.97176	0.97240	1751	0	6
2018.01.02	16:40:00	0.97240	0.97299	0.97231	0.97281	1850	0	6
2018.01.02	17:00:00	0.97280	0.97301	0.97205	0.97226	2288	0	6
2018.01.02	17:20:00	0.97228	0.97262	0.97173	0.97193	2110	0	6
2018.01.02	17:40:00	0.97193	0.97271	0.97185	0.97230	2322	0	6
2018.01.02	18:00:00	0.97230	0.97235	0.97098	0.97098	1877	0	6
2018.01.02	18:20:00	0.97100	0.97248	0.97091	0.97189	1897	0	6
2018.01.02	18:40:00	0.97192	0.97203	0.97124	0.97180	1975	0	6
2018.01.02	19:00:00	0.97179	0.97224	0.97172	0.97224	1364	0	6
2018.01.02	19:20:00	0.97225	0.97234	0.97174	0.97219	1590	0	6
2018.01.02	19:40:00	0.97220	0.97257	0.97181	0.97241	1252	0	6
2018.01.02	20:00:00	0.97243	0.97257	0.97217	0.97246	1017	0	6
2018.01.02	20:20:00	0.97244	0.97258	0.97208	0.97217	786	0	6
2018.01.02	20:40:00	0.97217	0.97256	0.97216	0.97245	879	0	6
2018.01.02	21:00:00	0.97244	0.97246	0.97207	0.97233	811	0	6
2018.01.02	21:20:00	0.97233	0.97237	0.97205	0.97216	551	0	6
2018.01.02	21:40:00	0.97217	0.97226	0.97182	0.97189	803	0	6
2018.01.02	22:00:00	0.97190	0.97215	0.97171	0.97201	890	0	6
2018.01.02	22:20:00	0.97201	0.97221	0.97191	0.97218	655	0	6
2018.01.02	22:40:00	0.97218	0.97219	0.97151	0.97163	1118	0	6
2018.01.02	23:00:00	0.97162	0.97193	0.97160	0.97172	755	0	6
2018.01.02	23:20:00	0.97172	0.97179	0.97167	0.97169	241	0	6
2018.01.02	23:40:00	0.97168	0.97171	0.97153	0.97153	1040	0	6
2018.01.03	00:00:00	0.97154	0.97196	0.97121	0.97181	159	0	19
2018.01.03	00:20:00	0.97179	0.97242	0.97138	0.97158	672	0	20
2018.01.03	00:40:00	0.97154	0.97221	0.97113	0.97168	2514	0	26
2018.01.03	01:00:00	0.97168	0.97206	0.97127	0.97154	2827	0	6
2018.01.03	01:20:00	0.97154	0.97158	0.97104	0.97123	1027	0	11
2018.01.03	01:40:00	0.97123	0.97147	0.97108	0.97146	305	0	8
2018.01.03	02:00:00	0.97147	0.97182	0.97147	0.97181	477	0	7
2018.01.03	02:20:00	0.97182	0.97221	0.97180	0.97211	816	0	6
2018.01.03	02:40:00	0.97211	0.97217	0.97190	0.97210	612	0	6
2018.01.03	03:00:00	0.97211	0.97221	0.97184	0.97203	685	0	6
2018.01.03	03:20:00	0.97203	0.97241	0.97194	0.97234	694	0	6
2018.01.03	03:40:00	0.97233	0.97247	0.97196	0.97200	811	0	6
2018.01.03	04:00:00	0.97200	0.97234	0.97200	0.97232	491	0	6
2018.01.03	04:20:00	0.97233	0.97255	0.97214	0.97226	765	0	6
2018.01.03	04:40:00	0.97227	0.97256	0.97216	0.97253	714	0	6
2018.01.03	05:00:00	0.97253	0.97254	0.97218	0.97229	507	0	6
2018.01.03	05:20:00	0.97229	0.97243	0.97223	0.97229	289	0	6
2018.01.03	05:40:00	0.97229	0.97230	0.97210	0.97222	285	0	6
2018.01.03	06:00:00	0.97221	0.97233	0.97207	0.97208	316	0	6
2018.01.03	06:20:00	0.97207	0.97209	0.97168	0.97172	286	0	6
2018.01.03	06:40:00	0.97171	0.97199	0.97171	0.97197	284	0	6
2018.01.03	07:00:00	0.97197	0.97209	0.97191	0.97201	274	0	6
2018.01.03	07:20:00	0.97202	0.97202	0.97166	0.97185	338	0	6
2018.01.03	07:40:00	0.97184	0.97189	0.97158	0.97169	355	0	6
2018.01.03	08:00:00	0.97170	0.97170	0.97139	0.97160	565	0	6
2018.01.03	08:20:00	0.97160	0.97177	0.97151	0.97158	632	0	6
2018.01.03	08:40:00	0.97158	0.97258	0.97145	0.97245	1102	0	6
2018.01.03	09:00:00	0.97245	0.97287	0.97238	0.97265	1686	0	6
2018.01.03	09:20:00	0.97265	0.97304	0.97262	0.97287	1223	0	6
2018.01.03	09:40:00	0.97287	0.97293	0.97231	0.97234	1066	0	6
2018.01.03	10:00:00	0.97234	0.97286	0.97226	0.97250	1605	0	6
2018.01.03	10:20:00	0.97249	0.97264	0.97225	0.97237	1325	0	6
2018.01.03	10:40:00	0.97237	0.97260	0.97228	0.97247	1083	0	6
2018.01.03	11:00:00	0.97247	0.97294	0.97226	0.97274	954	0	6
2018.01.03	11:20:00	0.97275	0.97283	0.97243	0.97262	887	0	6
2018.01.03	11:40:00	0.97262	0.97282	0.97223	0.97254	1030	0	6
2018.01.03	12:00:00	0.97254	0.97302	0.97235	0.97294	916	0	6
2018.01.03	12:20:00	0.97295	0.97423	0.97279	0.97407	1635	0	6
2018.01.03	12:40:00	0.97407	0.97499	0.97406	0.97497	1190	0	6
2018.01.03	13:00:00	0.97498	0.97596	0.97478	0.97584	1347	0	6
2018.01.03	13:20:00	0.97588	0.97615	0.97549	0.97611	1089	0	6
2018.01.03	13:40:00	0.97611	0.97642	0.97591	0.97613	858	0	6
2018.01.03	14:00:00	0.97611	0.97629	0.97576	0.97587	925	0	6
2018.01.03	14:20:00	0.97588	0.97626	0.97588	0.97609	666	0	6
2018.01.03	14:40:00	0.97603	0.97603	0.97524	0.97562	1160	0	6
2018.01.03	15:00:00	0.97562	0.97625	0.97551	0.97577	874	0	6
2018.01.03	15:20:00	0.97575	0.97656	0.97569	0.97613	875	0	6
2018.01.03	15:40:00	0.97614	0.97669	0.97604	0.97618	1164	0	6
2018.01.03	16:00:00	0.97618	0.97665	0.97614	0.97637	1162	0	6
2018.01.03	16:20:00	0.97637	0.97727	0.97616	0.97724	1488	0	6
2018.01.03	16:40:00	0.97724	0.97784	0.97716	0.97751	2077	0	6
2018.01.03	17:00:00	0.97759	0.97919	0.97759	0.97903	2704	0	6
2018.01.03	17:20:00	0.97903	0.97972	0.97886	0.97887	1707	0	6
2018.01.03	17:40:00	0.97887	0.97887	0.97683	0.97683	1990	0	6
2018.01.03	18:00:00	0.97689	0.97721	0.97653	0.97716	1915	0	6
2018.01.03	18:20:00	0.97717	0.97759	0.97668	0.97668	1173	0	6
2018.01.03	18:40:00	0.97669	0.97682	0.97582	0.97622	1355	0	6
2018.01.03	19:00:00	0.97622	0.97641	0.97602	0.97623	957	0	6
2018.01.03	19:20:00	0.97624	0.97637	0.97595	0.97634	677	0	6
2018.01.03	19:40:00	0.97636	0.97656	0.97632	0.97652	642	0	6
2018.01.03	20:00:00	0.97652	0.97692	0.97624	0.97690	623	0	6
2018.01.03	20:20:00	0.97692	0.97692	0.97650	0.97656	510	0	6
2018.01.03	20:40:00	0.97656	0.97662	0.97590	0.97622	751	0	6
2018.01.03	21:00:00	0.97607	0.97851	0.97600	0.97822	3003	0	6
2018.01.03	21:20:00	0.97824	0.97840	0.97733	0.97738	1563	0	6
2018.01.03	21:40:00	0.97737	0.97740	0.97677	0.97692	1358	0	6
2018.01.03	22:00:00	0.97691	0.97728	0.97672	0.97678	1148	0	6
2018.01.03	22:20:00	0.97679	0.97679	0.97622	0.97631	1199	0	6
2018.01.03	22:40:00	0.97632	0.97718	0.97625	0.97681	1337	0	6
2018.01.03	23:00:00	0.97682	0.97720	0.97679	0.97708	532	0	6
2018.01.03	23:20:00	0.97707	0.97716	0.97700	0.97704	443	0	7
2018.01.03	23:40:00	0.97704	0.97713	0.97656	0.97667	745	0	6
2018.01.04	00:00:00	0.97667	0.97721	0.97665	0.97691	364	0	15
2018.01.04	00:20:00	0.97703	0.97717	0.97661	0.97685	672	0	6
2018.01.04	00:40:00	0.97685	0.97723	0.97673	0.97706	924	0	6
2018.01.04	01:00:00	0.97706	0.97737	0.97685	0.97701	503	0	9
2018.01.04	01:20:00	0.97702	0.97719	0.97695	0.97711	299	0	11
2018.01.04	01:40:00	0.97709	0.97718	0.97702	0.97712	344	0	7
2018.01.04	02:00:00	0.97711	0.97747	0.97709	0.97745	911	0	6
2018.01.04	02:20:00	0.97744	0.97754	0.97731	0.97737	654	0	6
2018.01.04	02:40:00	0.97736	0.97744	0.97726	0.97727	437	0	6
2018.01.04	03:00:00	0.97727	0.97752	0.97717	0.97752	587	0	6
2018.01.04	03:20:00	0.97753	0.97793	0.97750	0.97793	758	0	6
2018.01.04	03:40:00	0.97793	0.97800	0.97764	0.97789	684	0	6
2018.01.04	04:00:00	0.97789	0.97791	0.97754	0.97757	685	0	6
2018.01.04	04:20:00	0.97759	0.97771	0.97737	0.97737	795	0	6
2018.01.04	04:40:00	0.97735	0.97761	0.97732	0.97748	560	0	6
2018.01.04	05:00:00	0.97749	0.97788	0.97747	0.97788	547	0	6
2018.01.04	05:20:00	0.97787	0.97790	0.97771	0.97777	504	0	6
2018.01.04	05:40:00	0.97778	0.97788	0.97769	0.97786	511	0	6
