<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	01:00:00	1302.77	1304.06	1302.20	1303.69	1075	0	19
2018.01.02	01:20:00	1303.70	1307.61	1303.67	1306.74	1913	0	19
2018.01.02	01:40:00	1306.72	1307.23	1306.53	1306.71	785	0	24
2018.01.02	02:00:00	1306.71	1306.81	1305.19	1305.64	994	0	19
2018.01.02	02:20:00	1305.65	1306.29	1305.50	1306.04	684	0	20
2018.01.02	02:40:00	1306.03	1307.25	1306.02	1306.27	1046	0	19
2018.01.02	03:00:00	1306.27	1306.37	1304.13	1305.80	2445	0	19
2018.01.02	03:20:00	1305.80	1306.73	1305.47	1306.72	1265	0	19
2018.01.02	03:40:00	1306.72	1306.96	1305.98	1306.12	1363	0	19
2018.01.02	04:00:00	1306.09	1306.64	1306.09	1306.50	908	0	19
2018.01.02	04:20:00	1306.51	1306.75	1305.79	1306.17	940	0	19
2018.01.02	04:40:00	1306.17	1306.17	1305.44	1305.92	821	0	19
2018.01.02	05:00:00	1305.92	1306.96	1305.36	1306.90	1173	0	21
2018.01.02	05:20:00	1306.92	1307.42	1306.63	1307.05	1102	0	19
2018.01.02	05:40:00	1307.03	1307.23	1306.37	1306.40	590	0	22
2018.01.02	06:00:00	1306.40	1306.63	1306.29	1306.52	487	0	20
2018.01.02	06:20:00	1306.52	1306.74	1306.41	1306.51	422	0	19
2018.01.02	06:40:00	1306.50	1307.23	1306.49	1307.14	500	0	19
2018.01.02	07:00:00	1307.12	1307.15	1306.88	1307.02	422	0	20
2018.01.02	07:20:00	1307.02	1307.25	1306.77	1306.89	443	0	19
2018.01.02	07:40:00	1306.88	1307.60	1306.81	1307.36	1207	0	19
2018.01.02	08:00:00	1307.35	1308.96	1307.35	1308.37	2211	0	19
2018.01.02	08:20:00	1308.36	1309.19	1308.28	1308.73	1205	0	19
2018.01.02	08:40:00	1308.77	1309.94	1308.48	1309.88	1369	0	19
2018.01.02	09:00:00	1309.89	1310.23	1309.05	1309.16	1912	0	19
2018.01.02	09:20:00	1309.17	1309.68	1308.78	1309.19	1886	0	20
2018.01.02	09:40:00	1309.19	1309.46	1308.68	1309.36	1627	0	19
2018.01.02	10:00:00	1309.36	1309.48	1308.49	1309.28	2206	0	19
2018.01.02	10:20:00	1309.27	1310.70	1309.11	1310.69	2393	0	19
2018.01.02	10:40:00	1310.68	1310.78	1309.94	1310.20	1419	0	19
2018.01.02	11:00:00	1310.19	1310.88	1309.95	1310.52	1524	0	21
2018.01.02	11:20:00	1310.52	1311.15	1310.07	1310.96	1505	0	19
2018.01.02	11:40:00	1310.96	1312.28	1310.73	1312.20	1982	0	19
2018.01.02	12:00:00	1312.19	1312.27	1310.10	1310.34	2178	0	19
2018.01.02	12:20:00	1310.34	1312.83	1310.33	1312.06	2012	0	19
2018.01.02	12:40:00	1312.06	1312.43	1311.64	1311.82	1489	0	19
2018.01.02	13:00:00	1311.83	1312.29	1311.42	1311.72	1190	0	19
2018.01.02	13:20:00	1311.71	1311.71	1311.30	1311.41	1095	0	19
2018.01.02	13:40:00	1311.49	1311.54	1310.11	1310.14	1529	0	19
2018.01.02	14:00:00	1310.15	1311.96	1310.04	1311.56	1900	0	19
2018.01.02	14:20:00	1311.57	1311.83	1311.30	1311.70	1244	0	19
2018.01.02	14:40:00	1311.71	1312.57	1311.57	1312.04	1706	0	19
2018.01.02	15:00:00	1312.06	1312.86	1311.85	1312.51	1850	0	19
2018.01.02	15:20:00	1312.59	1313.87	1312.43	1313.84	2933	0	19
2018.01.02	15:40:00	1313.84	1314.36	1312.97	1313.87	2343	0	19
2018.01.02	16:00:00	1313.81	1314.31	1313.28	1313.62	2600	0	19
2018.01.02	16:20:00	1313.63	1314.51	1312.71	1313.67	2829	0	19
2018.01.02	16:40:00	1313.67	1313.70	1312.20	1312.60	4275	0	19
2018.01.02	17:00:00	1312.65	1313.23	1310.76	1312.45	4225	0	19
2018.01.02	17:20:00	1312.43	1313.55	1312.06	1312.68	2848	0	19
2018.01.02	17:40:00	1312.70	1312.82	1311.90	1312.18	2793	0	19
2018.01.02	18:00:00	1312.20	1313.57	1312.15	1312.84	2660	0	19
2018.01.02	18:20:00	1312.85	1313.14	1312.01	1312.27	2621	0	19
2018.01.02	18:40:00	1312.21	1312.64	1311.22	1311.23	2443	0	19
2018.01.02	19:00:00	1311.24	1311.91	1311.17	1311.22	2014	0	19
2018.01.02	19:20:00	1311.21	1311.96	1311.14	1311.44	1953	0	19
2018.01.02	19:40:00	1311.45	1312.43	1311.41	1312.43	1704	0	19
2018.01.02	20:00:00	1312.41	1313.41	1312.35	1313.16	1808	0	19
2018.01.02	20:20:00	1313.17	1314.56	1313.05	1314.32	1966	0	19
2018.01.02	20:40:00	1314.31	1314.79	1313.79	1314.49	1468	0	19
2018.01.02	21:00:00	1314.49	1315.16	1314.41	1315.06	1493	0	19
2018.01.02	21:20:00	1315.07	1315.49	1314.52	1315.43	892	0	19
2018.01.02	21:40:00	1315.43	1316.16	1314.98	1315.93	1680	0	19
2018.01.02	22:00:00	1315.93	1316.81	1315.57	1316.38	1342	0	19
2018.01.02	22:20:00	1316.39	1318.32	1316.10	1317.75	1491	0	19
2018.01.02	22:40:00	1317.75	1318.46	1317.61	1318.24	1844	0	19
2018.01.02	23:00:00	1318.24	1318.86	1317.35	1317.74	1056	0	19
2018.01.02	23:20:00	1317.74	1317.86	1317.56	1317.62	353	0	19
2018.01.02	23:40:00	1317.64	1318.19	1317.33	1317.45	636	0	19
2018.01.03	01:00:00	1317.50	1318.76	1317.12	1318.58	1039	0	19
2018.01.03	01:20:00	1318.57	1319.86	1318.47	1319.83	1192	0	21
2018.01.03	01:40:00	1319.82	1321.38	1319.81	1320.21	1459	0	19
2018.01.03	02:00:00	1320.27	1321.00	1320.13	1320.83	931	0	19
2018.01.03	02:20:00	1320.83	1321.24	1320.26	1320.65	1275	0	19
2018.01.03	02:40:00	1320.66	1321.15	1320.55	1320.56	898	0	20
2018.01.03	03:00:00	1320.56	1320.61	1318.68	1319.86	2147	0	19
2018.01.03	03:20:00	1319.86	1320.32	1316.84	1317.73	1842	0	19
2018.01.03	03:40:00	1317.72	1318.22	1317.14	1318.16	2096	0	19
2018.01.03	04:00:00	1318.19	1318.33	1316.72	1316.79	1576	0	19
2018.01.03	04:20:00	1316.80	1316.80	1313.77	1313.77	2244	0	19
2018.01.03	04:40:00	1313.83	1314.27	1311.81	1312.19	2542	0	19
2018.01.03	05:00:00	1312.31	1313.12	1311.85	1313.09	1770	0	19
2018.01.03	05:20:00	1313.07	1314.07	1312.55	1313.73	1251	0	19
